"Score","Default"
426,0
389,0
369,0
437,0
385,0
445,0
432,0
450,0
391,0
376,0
420,0
382,0
365,1
449,0
364,1
398,1
426,0
431,0
406,0
443,0
369,0
377,0
433,0
351,0
438,0
440,0
413,0
360,0
391,0
367,0
379,0
429,0
396,0
392,0
369,0
364,1
427,0
403,0
432,0
423,0
356,0
446,0
379,0
430,0
438,0
413,0
436,0
450,0
375,0
439,0
425,0
409,0
407,0
447,0
412,0
377,1
401,1
424,1
362,1
394,0
426,0
367,0
394,0
419,0
367,0
447,0
393,0
445,0
371,0
363,0
436,0
388,1
423,1
410,0
386,0
424,0
434,0
369,0
373,0
406,0
371,0
413,0
441,1
363,0
384,1
402,0
427,0
441,0
390,0
428,0
447,0
399,1
356,1
417,0
400,0
376,1
446,0
391,1
383,0
353,0
440,0
392,0
366,0
351,0
358,0
392,0
442,0
367,0
406,0
374,0
431,0
447,0
401,0
438,0
352,0
397,0
426,0
364,0
416,0
417,0
411,0
365,0
419,0
398,0
380,0
396,0
431,0
366,0
390,0
426,0
414,0
407,0
408,0
377,0
368,0
445,0
441,0
385,1
389,0
368,1
433,1
380,0
446,0
390,0
449,0
415,0
356,0
375,0
393,1
384,0
366,0
445,0
386,0
449,0
409,0
424,0
417,0
375,0
406,0
433,0
373,0
386,0
421,0
375,1
391,1
384,0
383,1
377,0
372,1
444,0
416,0
362,0
436,0
444,0
423,0
433,0
420,0
369,0
388,0
364,0
433,0
350,0
380,0
354,0
383,0
435,0
357,0
431,0
417,1
411,0
416,1
367,0
409,0
416,0
362,0
373,0
446,1
351,1
374,0
366,1
545,0
488,0
548,0
473,0
500,0
495,0
476,0
455,0
537,0
457,0
502,0
506,0
527,0
465,0
541,0
488,0
509,0
476,0
533,0
481,0
468,0
492,0
502,0
518,0
503,0
520,0
506,0
491,0
538,0
464,1
531,0
464,0
514,0
520,0
548,1
541,0
514,0
478,0
453,0
478,1
460,0
457,1
505,0
540,0
477,0
517,0
511,0
544,0
475,0
510,0
474,0
466,0
514,0
507,0
481,0
510,0
454,0
545,0
467,0
522,0
512,0
481,0
500,0
509,1
467,0
504,0
505,0
495,0
463,0
518,1
482,0
506,0
513,0
487,1
505,0
542,0
533,1
539,0
521,0
455,0
538,0
508,0
519,0
481,0
522,0
535,0
533,0
481,0
