"Score","Default"
426,0
365,0
447,0
365,0
391,0
435,0
377,0
398,0
372,0
387,0
435,0
372,0
367,0
445,0
401,0
447,0
426,0
449,0
428,0
439,0
448,0
417,0
405,0
382,1
394,0
443,0
423,0
428,1
431,1
356,0
409,0
385,0
421,0
405,0
434,1
365,1
361,0
404,1
353,0
365,0
433,0
354,0
374,0
374,0
436,0
355,0
368,0
377,1
394,0
435,0
425,0
370,0
439,0
449,0
431,0
354,1
442,0
363,0
413,0
441,0
439,0
364,0
358,0
378,0
373,0
429,0
417,0
361,1
436,0
415,0
366,0
449,1
391,0
438,0
431,0
369,0
436,0
352,0
353,0
434,0
432,0
389,0
424,0
358,1
401,0
390,1
399,0
392,0
386,0
367,0
444,0
442,0
427,0
373,1
391,0
392,0
421,0
414,0
353,1
367,0
405,0
428,1
368,1
382,0
357,0
395,0
435,0
418,0
394,0
430,0
440,0
444,0
361,0
390,1
352,0
387,1
353,0
379,1
361,0
399,0
359,0
381,0
378,0
355,0
424,0
386,0
377,1
394,0
395,0
436,1
365,0
360,0
368,1
423,0
446,1
356,0
409,0
408,0
392,1
449,0
438,1
429,0
430,0
357,0
400,0
389,0
380,0
377,0
358,0
407,0
381,0
435,0
426,0
426,0
365,0
379,0
383,0
439,1
388,0
393,0
392,0
416,0
446,0
413,0
389,0
387,1
408,0
423,1
386,0
355,0
392,0
411,1
364,1
392,0
393,0
417,0
413,0
420,0
350,1
400,0
433,0
363,1
439,0
444,0
405,0
410,0
404,0
449,0
445,0
441,0
366,0
352,0
369,1
378,0
420,0
406,0
448,0
363,0
384,0
429,0
504,0
523,1
538,0
533,0
531,0
480,0
452,1
503,0
510,0
466,0
509,1
508,0
516,1
474,0
469,0
523,0
494,0
519,0
511,1
528,0
490,0
500,0
527,0
473,1
452,0
485,0
522,0
509,0
491,0
533,0
532,0
504,0
534,0
514,0
521,0
451,0
482,0
503,0
503,0
505,0
450,0
474,0
476,1
534,0
524,0
453,0
501,0
460,0
540,0
450,0
480,0
538,0
519,0
532,0
496,1
451,0
463,0
528,0
487,1
538,0
477,0
536,0
539,1
543,0
468,0
463,0
451,0
450,0
457,0
458,0
526,0
534,0
520,0
542,1
510,0
537,0
522,0
463,0
486,0
455,0
465,0
451,0
507,0
468,0
504,0
495,0
456,0
495,0
545,0
498,0
521,0
516,0
481,0
529,0
511,0
522,0
537,1
498,0
524,0
511,0
518,0
452,0
531,0
499,1
