"Score","Default"
431,0
417,0
399,0
431,0
417,0
355,0
357,0
408,0
397,0
371,0
370,0
433,0
412,0
354,1
398,0
382,0
433,0
352,0
421,0
393,0
399,0
382,0
370,0
403,0
374,0
440,0
432,0
408,1
427,0
407,1
369,1
405,0
390,0
372,0
350,1
359,0
350,1
431,0
432,0
444,0
364,1
417,0
411,0
446,0
362,1
432,0
410,1
407,1
367,0
446,0
383,1
397,0
430,0
411,0
353,0
445,0
434,0
401,0
369,0
366,0
389,0
361,1
396,0
425,0
364,0
401,0
379,0
429,0
445,0
386,0
370,0
428,0
419,0
388,0
360,0
383,0
399,0
365,0
359,1
388,0
432,0
391,1
436,0
350,0
388,0
371,0
423,0
405,0
444,0
407,0
350,1
403,0
364,0
425,0
357,0
415,0
377,0
395,1
448,0
350,0
375,0
376,0
398,0
409,1
393,0
361,0
420,0
419,0
412,1
375,0
432,0
425,0
376,0
450,0
377,0
400,0
352,0
440,0
398,1
405,1
422,0
429,0
364,0
418,0
408,0
407,0
368,0
415,0
417,0
410,0
375,0
387,0
405,1
391,0
361,0
419,1
355,0
413,0
435,0
440,0
369,0
421,0
427,0
417,0
356,0
400,1
370,0
411,0
434,0
353,0
413,0
411,0
398,0
387,1
417,0
419,0
399,0
409,0
416,0
423,0
405,0
395,0
419,0
371,1
356,0
423,0
429,1
440,1
439,0
435,0
430,1
387,0
365,0
365,0
448,0
395,0
397,1
365,0
392,0
368,0
429,0
390,0
410,0
365,0
379,0
423,0
443,0
372,0
440,1
390,0
420,0
427,0
351,0
410,0
366,0
369,1
417,0
420,0
426,0
382,0
522,0
468,0
492,0
517,0
508,0
451,0
462,0
502,0
494,0
550,0
469,1
461,0
491,0
543,0
488,0
520,0
453,1
453,0
459,0
497,0
484,0
509,0
547,0
521,0
496,0
500,0
467,0
482,0
456,0
457,0
470,0
510,0
525,0
482,0
457,0
464,0
483,0
533,0
457,0
488,1
540,0
491,0
486,0
493,0
451,0
513,0
526,0
518,0
469,0
520,0
524,0
457,0
500,0
465,0
533,0
479,0
490,0
479,0
490,0
486,0
532,0
541,0
500,0
482,0
475,0
501,0
463,0
476,0
550,0
521,0
532,0
513,0
532,0
510,0
498,1
504,1
455,0
475,0
479,1
482,0
481,0
502,0
493,0
516,0
528,0
474,0
507,0
550,0
539,0
526,1
482,0
498,0
494,0
484,0
550,0
503,0
464,0
509,0
452,1
468,0
450,0
475,0
461,0
533,0
473,0
479,0
516,0
542,0
509,0
526,0
489,1
543,0
464,0
461,1
463,0
514,0
532,0
485,0
524,0
550,0
547,0
507,0
450,0
549,0
452,0
493,0
481,0
531,0
522,0
470,0
523,0
464,1
475,0
466,0
547,0
476,1
521,1
483,0
522,0
539,0
499,0
469,0
487,0
517,0
498,0
482,0
466,0
514,0
508,0
460,0
467,0
466,0
483,0
465,0
482,0
454,1
494,0
468,0
494,0
522,0
504,0
549,0
550,1
529,0
469,1
522,0
505,0
511,0
550,0
506,0
474,0
512,0
503,0
505,0
491,0
516,0
478,0
473,0
482,0
450,0
535,0
459,0
539,0
503,1
545,0
477,0
488,0
483,0
469,0
459,0
511,0
494,0
523,0
493,0
490,0
513,1
513,0
471,0
462,0
488,0
646,0
625,0
577,1
604,0
599,0
638,0
595,0
586,0
587,1
608,0
612,0
561,0
619,0
551,0
562,0
635,0
608,0
627,0
564,1
624,0
625,0
620,0
631,0
592,0
577,0
615,0
605,0
610,0
572,0
572,0
620,0
586,0
588,0
565,0
618,0
614,0
615,0
636,0
583,0
609,0
641,0
631,0
646,0
602,0
588,0
619,0
585,0
619,0
552,1
632,0
563,0
586,0
650,0
587,0
557,0
587,0
551,0
614,0
627,0
565,0
582,0
563,0
633,0
615,0
550,0
650,0
571,0
609,0
605,0
595,0
606,0
598,0
566,0
585,0
604,0
602,0
632,0
616,0
564,0
578,0
628,0
565,0
562,0
555,0
563,0
624,0
558,0
583,0
641,0
583,0
637,0
598,0
605,0
648,0
576,0
609,1
612,0
629,0
629,0
615,0
582,0
579,0
562,0
592,0
575,0
575,0
644,0
626,0
603,0
639,0
598,0
622,0
574,0
570,0
611,0
561,0
629,0
579,0
586,0
639,0
631,0
635,0
620,0
617,0
563,1
590,0
627,0
644,0
602,0
620,0
599,0
580,0
623,0
627,0
567,0
602,0
565,0
611,0
643,0
579,0
634,0
551,0
626,0
554,0
560,0
560,0
574,0
615,0
629,0
572,0
553,0
610,0
648,0
555,0
637,0
615,0
558,0
617,0
578,1
585,0
587,0
592,0
609,0
613,0
601,0
592,0
616,0
614,1
585,0
615,0
568,0
646,0
568,0
596,0
610,0
566,0
635,0
627,0
645,0
590,0
613,0
617,0
566,0
636,0
604,0
620,0
623,0
594,0
550,0
600,0
637,0
637,0
647,0
582,0
607,0
584,0
613,0
606,1
557,0
604,0
730,0
737,0
671,0
703,0
650,0
750,0
658,0
689,0
702,0
717,0
704,0
651,0
731,0
692,0
688,0
676,0
682,0
691,0
708,0
723,0
729,0
733,0
707,0
720,0
666,0
716,0
692,1
699,0
728,0
743,0
721,0
667,1
667,0
650,0
703,0
750,0
701,0
701,0
689,0
694,0
669,0
702,0
683,1
701,0
701,0
662,0
660,0
746,0
701,0
668,0
677,0
738,0
745,0
701,0
738,0
651,0
715,0
748,0
718,0
733,0
733,0
671,0
704,0
659,1
749,0
695,0
746,0
668,1
702,0
710,0
700,0
680,0
660,0
653,0
737,0
706,0
671,0
658,0
660,0
684,0
692,0
727,0
678,0
702,0
656,0
734,0
749,0
707,0
720,1
695,0
674,0
653,0
654,0
716,0
661,0
715,0
670,0
740,0
729,0
700,0
707,0
735,0
716,0
737,0
728,0
729,0
659,0
662,0
670,0
705,0
658,0
716,0
653,0
733,0
661,0
709,0
738,0
689,0
670,0
652,1
726,0
737,0
672,0
668,0
703,0
703,0
666,0
675,0
745,0
739,0
744,0
706,0
663,0
708,0
717,0
689,0
710,0
704,0
702,0
739,1
711,0
746,0
715,0
690,0
658,0
687,0
666,0
655,0
734,0
721,0
739,0
717,0
731,0
711,0
714,0
699,0
734,0
732,0
710,0
715,0
674,0
745,0
689,0
671,1
706,0
690,0
738,0
739,0
730,0
711,0
709,0
673,0
734,0
727,0
743,0
735,0
679,0
694,0
732,0
719,0
674,0
724,0
737,0
712,0
701,0
735,0
701,0
702,0
703,0
738,0
659,0
655,0
737,0
723,0
664,0
749,0
740,0
712,0
750,0
670,0
768,0
843,0
820,0
793,0
839,0
780,0
777,0
832,0
832,0
825,0
777,0
833,0
772,0
766,0
752,0
764,0
826,0
822,0
789,0
758,0
798,0
778,0
776,0
750,0
770,0
814,1
835,0
762,0
831,0
776,0
773,0
849,0
761,0
768,0
767,0
781,0
800,0
808,0
787,0
784,0
808,0
848,0
833,0
838,0
756,0
770,0
795,0
785,0
832,0
759,1
841,0
845,0
830,0
847,0
807,0
790,0
791,0
819,0
754,0
752,0
837,0
755,0
766,0
830,0
782,0
814,0
821,0
787,0
803,0
823,0
836,0
841,0
779,0
779,0
809,0
804,0
766,0
780,0
779,0
796,0
779,0
766,0
793,1
761,0
849,0
806,0
751,0
805,0
824,0
769,0
846,0
769,0
847,0
784,0
773,0
823,0
761,0
788,0
810,0
775,0
792,0
805,0
765,0
769,0
841,0
832,0
832,0
850,0
833,0
767,0
768,0
789,0
839,0
823,0
806,0
822,0
826,0
755,0
750,0
823,0
752,0
776,0
835,0
835,0
803,0
764,0
768,0
814,0
795,0
771,0
770,0
753,0
800,0
844,0
828,0
779,0
808,0
763,0
840,0
786,0
790,0
810,0
775,0
842,0
804,0
772,0
754,0
827,0
755,0
777,0
808,0
794,0
810,0
839,0
795,0
820,0
788,0
805,0
817,0
801,0
777,0
840,0
817,0
793,0
801,0
768,0
807,0
815,0
755,0
756,1
777,0
771,0
846,0
810,0
837,0
819,0
776,0
761,0
774,0
829,0
804,0
797,0
829,0
798,0
834,0
810,0
774,0
805,0
825,0
813,0
761,0
800,0
844,0
800,0
809,0
844,0
767,0
763,0
758,0
753,0
