INCWAGE,SEX,AGE,EDUC,UHRSWORK
3200,1,48,7,40
0,1,38,10,0
30000,0,51,0,21
15000,1,36,6,40
40000,0,58,6,44
18000,1,54,6,40
55000,1,36,7,50
60000,1,61,6,40
0,1,54,11,0
42000,0,61,6,25
0,0,49,6,0
83000,0,52,10,40
0,1,60,0,0
0,0,63,8,0
28000,1,51,6,40
30000,1,48,7,40
26100,0,31,10,40
30000,0,44,6,40
30000,1,40,8,40
75000,1,34,11,40
120000,0,37,6,42
0,1,42,7,0
20500,0,40,1,35
60000,1,56,7,40
27000,0,62,10,30
71000,1,52,6,48
60000,1,53,7,52
100000,0,45,10,40
0,0,51,6,0
60000,1,42,11,40
43000,1,55,11,40
0,1,36,7,0
0,1,30,7,0
60000,0,62,6,40
0,0,63,10,0
24000,1,60,6,30
68000,1,64,8,40
12000,0,45,6,35
43800,1,41,8,40
0,1,26,6,0
7300,1,48,6,20
0,0,57,4,40
37000,1,52,6,40
0,0,64,7,32
36000,1,29,7,40
0,1,56,6,0
4300,1,39,7,12
119000,1,49,11,40
47000,0,47,8,40
65000,1,53,11,40
100000,0,39,11,40
58000,0,60,11,40
0,1,54,8,0
135000,0,58,10,40
0,0,43,6,0
120000,0,49,6,40
36000,0,50,6,40
120000,0,30,7,45
15000,1,31,10,20
75000,0,31,10,30
0,0,60,7,20
0,1,28,8,0
50000,1,64,6,40
110000,1,45,11,40
167000,1,54,11,45
27000,0,26,6,40
83000,0,50,11,40
84000,1,42,8,34
59000,1,32,10,42
5000,0,41,7,32
186000,0,52,10,40
273000,0,41,11,40
77000,1,51,11,40
476000,0,40,10,53
85000,0,40,10,40
30000,1,31,6,40
0,1,59,6,0
36100,1,31,10,40
35000,1,58,6,40
75000,1,53,7,40
0,1,55,2,0
137000,1,57,10,40
90000,1,50,11,30
30000,0,33,10,35
32000,0,28,7,40
65000,0,26,10,40
39000,0,46,7,40
15000,1,29,10,40
0,1,60,11,0
0,1,56,2,28
50000,0,31,6,40
45000,0,61,7,40
60000,1,33,10,50
0,0,40,11,20
0,0,44,6,0
24000,0,27,8,35
35000,1,31,7,40
43700,1,46,10,40
250000,0,32,11,60
85000,1,58,11,40
