Country ,divesites,annual_dives,totalannualexpenditure,Dive_expenditure ,Ecoimpact
Japan ,3,"145,158","11,400,103.00",1.56,"17,784,161.00"
Indonesia ,11,"139,594","10,655,022.00",1.42,"15,130,131.00"
Maldives,91,"157,000","8,100,000.00",1.91,"15,471,000.00"
Mozambique,18,"129,102","7,640,351.00",1.71,"13,065,000.00"
Thailand ,3,"121,767","7,418,750.00",1.67,"12,389,313.00"
Australia ,14,"75,393","6,529,435.00",2.23,"14,560,640.00"
Mexico ,4,"40,680","5,084,600.00",2.01,"10,220,046.00"
United states,3,"50,912","4,661,938.00",3.31,"15,431,015.00"
Federated States of Micronesia,6,"67,872","4,091,520.00",1.92,"7,855,718.00"
Palau ,2,"35,390","2,455,108.00",2.78,"6,825,200.00"
French polynesia ,3,"17,550","1,367,625.00",2.71,"3,706,264.00"
Philipines,8,"18,463","863,479.00",1.64,"1,416,106.00"
Exuador,1,"2,557","726,126.00",2.56,"2,009,411.00"
Fiiji,5,"14,967","630,148.00",2.52,"1,587,973.00"
New Caledonia ,2,"5,100","524,988.00",2.21,"1,160,223.00"
Solomon Islands ,3,"2,908","319,332.00",1.92,"613,117.00"
Madagascar ,1,"5,426","206,498.00",1.84,"379,956.00"
India ,2,979,"198,890.00",1.67,"332,146.00"
Papua New Guinea ,2,"2,012","175,561.00",1.92,"337,077.00"
Myanmar,3,"2,158","157,606.00",1.67,"263,202.00"
Costa rica ,2,"2,184","109,200.00",2.5,"273,000.00"
Kiribati ,2,350,"17,500.00",1.92,"33,600.00"
Sudan ,1,181,"13,506.00",1.69,"22,825.00"
