"Score","Default"
362,0
428,1
435,0
395,0
393,1
414,0
416,0
379,1
391,1
428,1
380,0
381,0
398,0
391,0
356,1
420,1
437,0
370,0
427,1
445,1
392,0
398,1
404,0
436,1
357,0
361,0
405,0
399,0
407,1
366,0
358,0
397,0
422,1
419,0
350,0
428,0
415,0
440,0
395,1
382,0
355,0
382,0
381,0
363,0
362,0
402,0
444,0
390,0
422,0
360,0
428,0
383,0
422,0
372,1
378,0
353,0
408,0
397,0
378,0
444,0
403,0
355,0
383,0
425,0
433,1
365,0
373,0
426,1
376,0
352,0
401,0
388,0
353,0
426,1
365,0
449,0
412,0
404,0
354,0
383,0
385,0
435,0
420,0
443,0
389,0
424,1
354,1
404,0
425,1
443,0
370,0
412,1
354,0
360,1
371,1
445,0
429,0
407,0
359,1
402,1
393,1
447,0
360,0
414,0
401,0
393,1
435,1
356,0
395,0
447,0
434,0
412,0
425,0
372,0
371,0
389,0
385,0
393,0
438,0
427,1
369,0
389,0
367,0
445,0
437,1
362,0
366,0
353,0
448,0
382,1
449,0
441,0
352,1
371,0
354,0
374,1
397,0
370,1
415,0
390,1
350,0
365,0
386,0
427,0
367,1
352,0
447,0
357,1
416,0
369,0
418,1
359,0
430,0
423,0
425,0
352,1
424,0
448,0
363,0
353,1
367,0
354,0
422,0
445,0
353,0
411,0
405,0
436,0
405,0
382,1
411,0
439,0
425,0
379,0
386,0
410,0
409,1
365,0
372,0
448,0
393,0
450,1
427,0
355,1
382,0
432,1
405,0
369,0
350,0
401,0
405,0
384,0
430,1
440,0
372,0
416,0
354,1
439,0
384,0
398,0
488,1
517,0
505,0
528,0
470,0
508,0
513,0
466,1
483,1
530,0
503,1
528,0
540,1
503,0
540,0
475,0
477,0
488,0
527,0
527,0
471,0
464,0
514,0
487,0
511,0
544,0
477,0
514,0
509,0
484,0
544,0
492,0
512,0
534,0
516,0
547,0
550,0
544,0
479,0
504,0
508,0
483,0
503,0
460,0
547,0
543,0
506,0
484,0
505,0
541,0
529,0
530,0
487,0
530,1
456,0
489,0
507,0
487,0
487,0
501,0
532,0
496,0
515,0
481,0
547,0
450,0
480,0
517,0
461,0
547,0
547,0
504,0
464,1
497,0
480,0
527,0
501,0
485,0
495,1
503,1
527,0
539,0
476,0
509,0
469,0
525,0
496,0
496,0
538,0
549,0
470,0
