"","sleep","age","educ","totwrk","male","yngkid"
"1",3165,30,16,2163,1,0
"2",3256,28,12,1350,1,1
"3",3215,60,11,0,0,0
"4",3388,39,12,2233,0,0
"5",3630,27,12,1213,0,1
"6",3263,25,12,2250,1,1
"7",3130,35,12,3135,0,0
"8",3030,52,17,1138,1,0
"9",1740,50,16,2909,1,0
"10",3376,31,17,2592,1,1
"11",3215,61,12,375,0,0
"12",3488,26,12,1880,1,0
"13",3628,58,7,0,1,0
"14",3330,33,12,2788,1,0
"15",2970,27,15,2125,1,1
"16",3295,50,8,2805,0,0
"17",3176,31,17,2163,0,0
"18",2745,28,13,0,0,1
"19",3565,44,8,2150,0,0
"20",3195,40,14,1755,0,0
"21",3028,44,16,2513,1,0
"22",2820,31,14,3615,0,0
"23",4110,34,12,2505,0,0
"24",3495,61,17,2038,1,0
"25",4068,28,16,2568,0,0
"26",3105,39,17,0,0,0
"27",2508,26,16,1230,0,1
"28",2806,31,12,2476,1,1
"29",2715,49,17,2850,0,0
"30",2381,33,12,2760,0,0
"31",3505,59,13,2398,1,0
"32",2200,26,12,2506,1,0
"33",2770,39,12,4000,1,0
"34",2661,40,14,2485,1,0
"35",3183,47,8,2388,1,0
"36",3103,35,12,1350,0,0
"37",3480,27,12,1213,0,0
"38",2955,31,16,3116,1,1
"39",3753,24,17,1325,0,0
"40",3221,26,12,1150,0,0
"41",2930,30,17,2100,1,0
"42",4005,34,10,520,0,0
"43",3330,37,12,3148,1,0
"44",2833,56,11,3242,1,0
"45",3128,32,16,2173,0,0
"46",2880,40,13,3276,1,0
"47",2448,47,17,2488,1,0
"48",3470,24,16,1660,0,0
"49",2828,39,17,1243,0,0
"50",3730,23,16,2213,0,0
"51",3095,31,15,2293,1,0
"52",3818,28,12,125,0,0
"53",3480,28,12,1113,0,0
"54",3488,50,8,1715,1,0
"55",3318,51,14,0,0,0
"56",3890,30,16,1050,0,1
"57",3250,27,14,2700,1,0
"58",3285,24,13,2451,1,0
"59",3060,45,12,2745,1,0
"60",3076,43,12,2876,1,0
"61",2603,36,12,2638,1,1
"62",3383,32,12,2638,1,0
"63",3308,27,12,1613,1,0
"64",3455,31,16,2828,0,0
"65",3378,23,12,3185,1,0
"66",2746,33,12,2740,1,0
"67",4200,65,5,0,1,0
"68",3150,32,12,2965,1,0
"69",3498,59,12,1015,1,0
"70",3120,23,13,2477,1,1
"71",3698,33,17,2518,1,1
"72",3373,35,16,68,0,0
"73",3405,55,5,1875,1,0
"74",3558,25,17,1600,1,0
"75",3460,56,9,2250,0,0
"76",2113,33,14,2488,1,1
"77",3633,49,12,1025,0,0
"78",3433,35,12,3025,1,0
"79",3720,24,17,2113,0,0
"80",4151,29,10,3570,1,0
"81",3670,39,12,2600,1,0
"82",2970,54,17,1961,0,0
"83",3248,27,15,2238,1,1
"84",3363,56,12,2426,1,0
"85",2948,27,14,1813,0,0
"86",2803,33,13,2376,0,0
"87",3795,36,9,1555,1,0
"88",3773,25,12,0,0,0
"89",3938,57,12,588,0,0
"90",3750,62,17,2226,1,0
"91",4095,29,16,1313,0,0
"92",3176,39,12,2225,1,0
"93",3211,45,17,1275,1,0
"94",3203,34,11,2463,1,0
"95",2765,44,17,2511,0,0
"96",3113,32,12,3438,1,0
"97",3310,25,12,0,0,0
"98",3630,25,16,875,0,0
"99",3338,29,12,2313,1,0
"100",2668,25,12,2400,1,1
"101",3755,55,13,1138,1,0
"102",3030,29,12,2270,0,0
"103",3525,32,12,1875,0,0
"104",2885,37,16,2578,1,0
"105",4180,30,10,2570,1,0
"106",3213,28,12,2288,1,0
"107",2910,31,12,2450,0,0
"108",3363,37,12,2743,1,0
"109",2921,29,12,2263,0,0
"110",2793,43,16,1273,1,0
"111",2895,50,12,3411,0,0
"112",2780,33,16,1950,1,0
"113",3116,56,12,2628,1,0
"114",3110,46,11,2393,0,0
"115",2303,44,17,3699,1,0
"116",3140,43,9,2666,1,0
"117",3630,54,14,2300,1,0
"118",3240,49,8,1038,0,0
"119",4091,24,13,75,0,0
"120",3420,32,17,830,0,0
"121",2848,24,16,638,0,0
"122",2746,32,9,2288,0,0
"123",3683,29,16,1125,1,0
"124",3250,36,12,3598,0,0
"125",3233,50,11,2888,1,0
"126",3453,43,12,2325,1,0
"127",3573,29,14,2013,1,0
"128",3120,38,12,2948,1,0
"129",3105,24,12,2275,1,1
"130",3020,54,13,2275,0,0
"131",3556,46,12,826,0,0
"132",3420,53,12,2300,1,0
"133",3880,40,12,2830,1,1
"134",2870,25,13,1830,0,0
"135",4266,56,5,2880,1,0
"136",2891,30,12,2163,0,1
"137",3515,24,13,2843,1,0
"138",3683,23,12,2950,1,0
"139",3188,38,12,2538,1,0
"140",3601,26,12,283,0,0
"141",3148,60,17,1988,1,0
"142",3298,31,12,2276,1,0
"143",3328,52,12,2146,0,0
"144",3155,25,16,3075,1,0
"145",2771,32,6,3533,1,1
"146",3398,50,14,1655,0,0
"147",3225,59,12,2260,0,0
"148",3630,58,8,625,0,0
"149",3803,43,5,2446,1,0
"150",3113,58,12,2313,0,0
"151",3670,38,14,2175,1,0
"152",3466,39,16,1050,0,0
"153",3543,35,8,1088,0,0
"154",2868,52,8,1733,0,0
"155",3218,39,17,2026,0,0
"156",3368,44,8,3071,1,0
"157",3333,46,8,2560,1,0
"158",2885,31,15,2763,1,0
"159",2640,27,16,3180,1,1
"160",4140,45,8,0,1,0
"161",3420,39,11,2205,1,0
"162",3423,35,16,3338,1,0
"163",3795,24,16,1298,0,0
"164",2955,37,11,1313,1,0
"165",3070,36,12,3135,1,0
"166",2911,52,12,2100,0,0
