"sleep","age","educ","totwrk","male","yngkid"
3015,47,10,1183,0,0
3285,31,17,1325,0,0
2640,27,16,3180,1,1
2970,30,16,2363,0,1
2633,32,10,2663,1,0
3488,26,12,1880,1,0
3610,27,14,2466,1,1
3390,27,16,3421,1,0
2355,54,14,2726,0,0
3730,23,16,2213,0,0
3618,53,16,3569,0,0
3330,33,12,2788,1,0
2928,28,17,2606,1,0
3455,31,16,2828,0,0
3450,23,12,2450,1,1
3398,53,16,2088,1,0
3308,25,17,2820,1,0
3158,33,12,2413,0,0
3515,52,12,2250,0,0
4113,43,8,1288,1,0
3303,56,12,2226,1,0
3295,23,16,370,0,0
2905,27,12,3648,1,1
3450,44,15,995,1,0
3451,44,12,1208,1,0
3203,44,12,2001,1,0
3248,33,12,2526,1,0
2985,32,16,2388,0,0
3113,34,10,2563,0,0
2865,41,12,3438,1,0
2915,47,16,2638,1,0
3316,50,8,2970,1,0
2655,25,13,2688,1,0
3218,38,12,2713,1,0
3116,56,12,2628,1,0
3308,45,12,2326,1,0
3601,26,12,283,0,0
3705,32,12,940,0,0
3245,28,16,2961,1,0
3388,45,9,2325,0,0
3098,27,12,3480,1,0
3130,27,14,2450,0,0
3656,32,12,2010,1,0
3404,52,14,3748,1,0
3320,25,14,2193,0,0
3233,50,11,2888,1,0
2010,40,12,808,0,0
3013,39,12,2313,1,0
3478,57,12,1200,1,0
2828,30,11,2700,0,0
3338,44,12,2263,1,0
3367,26,12,2250,0,0
3633,49,12,1025,0,0
3510,37,12,1851,0,0
3443,25,17,2996,0,0
3525,32,16,2348,1,1
3660,42,14,2575,0,0
3530,33,10,2250,0,0
3990,56,7,1725,0,0
3120,23,13,2477,1,1
3070,36,12,3135,1,0
3105,32,12,4075,1,0
3008,30,16,2905,1,1
3498,59,12,1015,1,0
3863,62,1,0,0,0
3328,36,12,3188,1,0
3353,62,8,2475,0,0
3860,28,12,1334,0,0
3188,38,12,2538,1,0
3083,30,12,3786,0,0
3683,23,12,2950,1,0
3405,43,13,2145,0,0
3388,39,12,2233,0,0
3465,26,10,2700,0,1
4420,38,10,2450,1,0
3176,31,17,2163,0,0
3295,50,8,2805,0,0
3055,38,12,875,0,0
2928,48,12,2735,1,0
2800,28,12,0,0,1
3225,35,12,638,1,0
3548,32,12,113,0,0
3825,65,7,2143,1,0
2413,25,12,400,0,0
3710,34,16,788,0,0
2933,28,12,2513,1,1
3008,52,10,2275,0,0
2948,27,14,1813,0,0
3639,27,15,2513,1,1
3460,56,9,2250,0,0
3700,26,12,388,0,0
3310,49,12,2826,1,0
3278,40,12,2420,0,0
3570,52,7,2350,1,0
3348,30,17,1760,1,1
3255,33,11,2750,0,0
3368,32,17,2353,1,0
2470,38,16,2026,1,0
3213,48,8,3273,0,0
3615,34,12,1888,1,1
3206,48,17,838,1,0
2945,62,10,1263,0,0
3630,58,8,625,0,0
2448,47,17,2488,1,0
3233,44,7,2288,1,0
3550,24,16,2455,1,0
2806,31,12,2476,1,1
3436,44,12,2250,0,0
3210,32,16,2433,1,0
2848,24,16,638,0,0
3150,30,12,1671,0,0
3798,24,16,2438,1,0
3060,45,12,2745,1,0
3008,48,5,2693,1,0
3090,44,13,538,0,0
3338,51,16,1323,0,0
3631,32,12,1650,1,0
2643,34,11,1408,1,0
3218,59,12,1013,0,0
4695,52,12,1533,0,0
2698,33,12,1553,0,0
3305,44,12,3050,1,0
2928,47,13,3608,1,0
3420,53,12,2300,1,0
3150,40,15,1825,1,0
4050,24,13,0,0,0
3215,60,11,0,0,0
3310,25,12,0,0,0
3045,32,12,2982,1,1
3967,37,6,1751,0,0
3195,38,14,1578,1,0
3638,37,17,2125,1,1
3630,54,14,2300,1,0
2243,39,16,2713,1,0
2923,28,17,2243,0,0
3150,64,17,1188,1,0
2813,55,12,2550,0,0
3660,49,14,1163,0,0
3375,40,12,2905,1,0
2881,31,8,2866,1,1
2738,41,10,2475,1,0
2280,23,9,5043,1,0
3370,56,12,2611,1,0
2740,54,12,2375,1,0
3583,64,12,2508,1,0
3855,46,7,2463,1,0
4373,44,11,0,0,0
3438,28,14,2206,1,0
3023,36,16,2281,0,0
3655,47,16,460,0,0
3428,49,15,1175,0,0
4545,40,11,835,1,0
2715,49,17,2850,0,0
3143,48,12,900,0,0
3898,52,12,2408,0,0
2940,41,17,1725,0,0
3201,54,14,2298,1,0
3213,31,12,2188,1,0
3261,52,17,2588,1,0
3750,62,17,2226,1,0
3530,31,12,1113,1,1
3630,25,16,875,0,0
3188,44,12,2353,0,0
3105,39,17,0,0,0
3573,29,14,2013,1,0
3210,32,13,2125,1,0
1485,28,12,2075,1,1
3253,27,12,2813,1,0
2728,28,16,1175,0,0
2648,57,9,2775,0,0
3480,28,12,1113,0,0
3330,37,12,3148,1,0
3423,61,8,1588,1,0
3628,58,7,0,1,0
3536,29,12,2375,0,0
3045,37,12,2049,1,0
3181,39,12,2393,1,1
3505,29,13,1993,0,0
2113,33,14,2488,1,1
2668,25,12,2400,1,1
2930,28,10,1283,1,0
3621,34,12,2588,0,0
3218,39,17,2026,0,0
2623,32,12,1920,0,0
2930,30,17,2100,1,0
2708,32,12,2458,0,0
2943,54,14,2575,0,0
3270,43,12,0,0,0
3556,46,12,826,0,0
3611,39,17,2575,1,0
3420,32,17,830,0,0
3138,47,12,2351,1,0
3890,30,16,1050,0,1
3608,32,12,2100,0,0
2733,47,6,3226,0,0
2948,35,12,2480,0,0
2250,26,15,4065,0,1
4151,29,10,3570,1,0
2970,27,15,2125,1,1
3405,47,12,2460,0,0
