"","sleep","age","educ","totwrk","male","yngkid"
"1",2868,52,8,1733,0,0
"2",3638,27,11,1375,0,0
"3",3008,30,16,2905,1,1
"4",3135,29,12,1538,1,0
"5",3470,24,16,1660,0,0
"6",3015,47,10,1183,0,0
"7",3030,52,17,1138,1,0
"8",2678,33,12,2755,1,0
"9",3322,35,12,1838,1,1
"10",3316,50,8,2970,1,0
"11",3498,59,12,1015,1,0
"12",3250,36,12,3598,0,0
"13",2985,50,12,3194,1,0
"14",3138,33,12,2488,0,0
"15",3598,56,14,2376,1,0
"16",2918,23,16,2038,1,0
"17",3270,23,17,1960,0,0
"18",2355,54,14,2726,0,0
"19",3250,27,14,2700,1,0
"20",3943,59,14,958,1,0
"21",3631,32,12,1650,1,0
"22",2828,30,11,2700,0,0
"23",2985,37,14,4335,1,0
"24",3218,50,13,2300,0,0
"25",3765,51,13,2100,1,0
"26",2885,29,16,2663,1,1
"27",3938,57,12,588,0,0
"28",2708,55,17,2501,1,0
"29",3628,28,16,1013,0,0
"30",3885,33,14,913,0,0
"31",3233,50,11,2888,1,0
"32",3378,23,12,3185,1,0
"33",3040,25,12,1510,0,1
"34",2760,33,16,2695,1,1
"35",3633,44,12,2170,0,0
"36",3720,24,17,2113,0,0
"37",3398,50,14,1655,0,0
"38",3201,54,14,2298,1,0
"39",3733,28,16,2288,1,1
"40",3755,55,13,1138,1,0
"41",3315,35,12,2948,1,0
"42",2698,33,12,1553,0,0
"43",2710,52,11,2368,0,0
"44",3330,34,12,2300,1,0
"45",3943,27,12,2451,0,0
"46",3073,57,17,2351,1,0
"47",2840,38,11,2353,0,0
"48",2870,25,13,1830,0,0
"49",3113,29,17,2173,1,0
"50",2728,28,16,1175,0,0
"51",2701,39,16,3695,1,0
"52",3450,44,15,995,1,0
"53",2880,56,8,2450,1,0
"54",2760,41,17,3518,1,0
"55",2895,27,12,2313,1,0
"56",3195,38,14,1578,1,0
"57",3423,35,16,3338,1,0
"58",2961,24,12,1675,1,0
"59",2648,57,9,2775,0,0
"60",3388,39,12,2233,0,0
"61",3346,54,12,2288,0,0
"62",3323,44,8,2968,1,0
"63",3715,34,17,2443,1,0
"64",2780,33,16,1950,1,0
"65",2633,32,10,2663,1,0
"66",3255,29,12,2100,1,0
"67",3090,36,12,3225,1,0
"68",3720,36,12,2100,0,0
"69",3188,38,12,2538,1,0
"70",3266,29,17,2883,1,0
"71",3611,39,17,2575,1,0
"72",3630,25,16,875,0,0
"73",3953,57,14,2351,0,0
"74",4200,65,5,0,1,0
"75",3615,27,16,2443,0,0
"76",2848,24,16,638,0,0
"77",2985,62,8,0,1,0
"78",2765,44,17,2511,0,0
"79",2965,31,12,2551,1,0
"80",3990,56,7,1725,0,0
"81",3030,42,14,3311,1,0
"82",2723,37,12,2781,1,0
"83",3308,29,17,2438,1,1
"84",3405,35,16,1470,0,0
"85",3418,64,17,1126,0,0
"86",3008,51,8,3331,1,0
"87",3383,32,12,2638,1,0
"88",3105,33,17,3080,1,0
"89",3218,42,12,3275,1,1
"90",2885,31,15,2763,1,0
"91",3753,24,17,1325,0,0
