"sleep","age","educ","totwrk","male","yngkid"
3023,36,16,2281,0,0
2335,36,9,2896,1,0
3278,40,12,2420,0,0
3008,30,16,2905,1,1
3278,45,17,1051,0,0
3515,24,13,2843,1,0
2865,24,12,2251,0,0
3465,26,10,2700,0,1
2728,28,16,1175,0,0
4100,55,12,188,1,0
3218,39,17,2026,0,0
4313,34,16,2758,1,1
3503,35,12,1588,1,0
3458,48,12,1538,0,0
3423,35,16,3338,1,0
3403,45,8,2648,1,0
3508,38,16,2400,1,1
4575,49,12,0,1,0
3181,54,9,1208,0,0
3641,24,13,2686,0,0
3098,38,12,2828,1,0
2885,29,16,2663,1,1
3536,29,12,2375,0,0
3188,45,12,1175,0,0
2930,28,10,1283,1,0
3225,59,12,2260,0,0
3353,62,8,2475,0,0
3466,39,16,1050,0,0
2793,43,16,1273,1,0
3183,47,8,2388,1,0
2928,47,13,3608,1,0
3410,42,12,0,0,0
4068,28,16,2568,0,0
3270,23,17,1960,0,0
2413,44,8,2701,0,0
3480,28,12,1113,0,0
3370,56,12,2611,1,0
3090,44,13,538,0,0
3195,40,14,1755,0,0
2560,56,12,3018,1,0
3415,62,16,2935,1,0
2821,23,9,3825,1,0
3975,28,12,0,0,0
3128,33,16,2843,1,0
3181,39,12,2393,1,1
3203,38,10,1525,0,0
4030,24,12,2193,0,1
3180,31,12,0,0,0
2985,31,15,0,0,0
3368,35,17,2048,1,1
3333,46,8,2560,1,0
3773,33,17,353,0,0
3413,31,16,4058,1,1
3088,60,10,2747,0,0
2885,58,10,2625,1,0
3308,28,17,3038,1,0
2413,25,12,400,0,0
3308,25,17,2820,1,0
3967,37,6,1751,0,0
2670,44,17,2815,1,0
2983,32,12,2025,0,0
3300,37,12,3213,1,0
3083,30,12,3786,0,0
1905,28,13,3418,1,1
2623,60,12,4325,1,0
3611,29,17,1445,0,0
4110,34,12,2505,0,0
3250,36,12,3598,0,0
3213,35,10,1485,0,0
2010,40,12,808,0,0
3515,52,12,2250,0,0
3120,23,13,2477,1,1
3188,44,12,2353,0,0
3030,29,12,2270,0,0
3755,55,13,1138,1,0
2303,44,17,3699,1,0
2985,50,12,3194,1,0
4113,43,8,1288,1,0
3200,58,9,2363,1,0
3355,24,10,0,1,1
3346,54,12,2288,0,0
3201,46,17,3003,1,0
3250,27,14,2700,1,0
4373,44,11,0,0,0
3130,27,14,2450,0,0
3255,33,11,2750,0,0
2921,29,12,2263,0,0
3383,32,12,2638,1,0
2926,35,12,2250,0,0
3328,52,12,2146,0,0
3775,26,13,2711,1,1
3308,45,12,2326,1,0
3261,52,17,2588,1,0
3750,62,17,2226,1,0
3745,62,8,900,0,0
3443,25,17,2996,0,0
3333,29,16,1818,0,1
4545,40,11,835,1,0
4151,29,10,3570,1,0
2243,39,16,2713,1,0
2955,37,11,1313,1,0
2838,48,12,2338,1,0
3165,50,17,2163,1,0
3743,54,17,3118,1,0
3322,35,12,1838,1,1
3455,31,16,2828,0,0
3173,28,12,3031,1,0
3165,28,10,2765,1,1
3705,32,12,940,0,0
3375,50,16,938,1,0
3060,50,12,2603,1,0
3430,46,8,1150,1,0
3350,35,14,2050,0,0
2630,50,13,2925,0,0
2820,29,12,4580,1,0
3405,25,13,3466,1,1
3368,44,8,3071,1,0
3188,38,12,2538,1,0
3630,25,16,875,0,0
3943,59,14,958,1,0
3203,34,16,2205,0,0
3108,27,12,1863,0,0
3990,56,7,1725,0,0
2890,26,12,2380,0,0
3151,40,17,1263,0,0
3105,33,17,3080,1,0
3715,34,17,2443,1,0
3115,36,16,1860,0,0
1485,28,12,2075,1,1
2765,44,17,2511,0,0
3391,50,12,2895,1,0
2891,30,12,2163,0,1
3823,56,13,2300,1,0
3498,59,12,1015,1,0
3405,43,13,2145,0,0
3510,37,12,1851,0,0
2828,39,17,1243,0,0
3368,33,11,1093,0,0
3150,44,16,1075,1,0
3076,43,12,2876,1,0
3468,26,16,2871,1,0
3330,33,12,2788,1,0
3530,31,12,1113,1,1
2770,39,12,4000,1,0
2250,26,15,4065,0,1
3450,23,12,2450,1,1
3540,35,12,3692,1,0
3363,43,12,1673,1,0
3073,42,12,2088,0,0
2873,53,12,3588,1,0
3008,51,8,3331,1,0
3285,24,13,2451,1,0
2648,57,9,2775,0,0
3355,26,16,3151,1,1
3060,36,8,750,0,0
3175,42,13,3481,1,0
2780,33,16,1950,1,0
3683,54,14,2150,1,0
3390,27,16,3421,1,0
3303,56,12,2226,1,0
2200,26,12,2506,1,0
2920,31,14,5020,1,0
3590,28,11,2100,1,1
2678,33,12,2755,1,0
4140,45,8,0,1,0
3615,34,12,1888,1,1
2533,42,12,1565,0,0
3875,26,14,2088,1,1
3248,25,9,3190,1,0
3236,25,16,2350,0,0
3698,33,17,2518,1,1
3065,37,12,3003,1,0
3633,44,12,2170,0,0
3656,32,12,2010,1,0
2311,36,12,3996,1,0
3305,44,12,3050,1,0
2880,56,8,2450,1,0
4050,24,13,0,0,0
2708,32,12,2458,0,0
2799,23,16,2700,1,0
3803,43,5,2446,1,0
2879,25,17,2363,1,0
2881,31,8,2866,1,1
3225,35,12,638,1,0
3345,33,17,1955,0,1
3611,39,17,2575,1,0
3348,50,12,1345,1,0
2820,31,14,3615,0,0
3211,45,17,1275,1,0
3363,56,12,2426,1,0
3998,25,12,1350,0,0
3855,46,7,2463,1,0
3113,32,12,3438,1,0
3628,28,16,1013,0,0
3245,27,17,305,0,1
3330,34,12,2300,1,0
3523,54,17,1971,1,0
3773,25,12,0,0,0
3630,27,12,1213,0,1
3888,26,12,3446,1,0
