"","sleep","age","educ","totwrk","male","yngkid"
"1",3621,34,12,2588,0,0
"2",2746,32,9,2288,0,0
"3",3553,24,12,1570,0,0
"4",3196,33,10,2293,0,0
"5",3488,50,8,1715,1,0
"6",3020,54,13,2275,0,0
"7",3405,55,5,1875,1,0
"8",2633,32,10,2663,1,0
"9",3280,36,16,1905,0,0
"10",3215,28,12,2688,0,0
"11",2880,40,13,3276,1,0
"12",3818,57,4,360,0,0
"13",3791,34,15,2808,1,0
"14",3368,35,17,2048,1,1
"15",3333,29,16,1818,0,1
"16",3150,32,12,2965,1,0
"17",2335,36,9,2896,1,0
"18",3668,41,16,2218,0,0
"19",2733,47,6,3226,0,0
"20",2985,37,14,4335,1,0
"21",3130,35,12,3135,0,0
"22",3715,34,17,2443,1,0
"23",3248,27,15,2238,1,1
"24",3060,23,12,2375,1,1
"25",3871,46,16,2050,1,0
"26",3175,42,13,3481,1,0
"27",3183,47,8,2388,1,0
"28",3367,26,12,2250,0,0
"29",3570,60,12,2560,0,0
"30",3360,49,11,3135,0,0
"31",3548,45,12,2178,0,0
"32",3530,31,12,1113,1,1
"33",3330,61,12,2866,1,0
"34",3428,28,17,638,0,0
"35",3105,32,12,4075,1,0
"36",2533,42,12,1565,0,0
"37",3090,33,12,1806,1,0
"38",2895,27,12,2313,1,0
"39",2708,32,12,2458,0,0
"40",2885,31,15,2763,1,0
"41",4266,56,5,2880,1,0
"42",3670,39,12,2600,1,0
"43",3405,25,13,3466,1,1
"44",3885,33,14,913,0,0
"45",3348,30,17,1760,1,1
"46",3643,28,11,3085,1,0
"47",3618,26,17,2941,1,0
"48",3480,27,12,1213,0,0
"49",3210,53,16,3203,0,0
"50",3423,61,8,1588,1,0
"51",2715,49,17,2850,0,0
"52",3435,42,11,2946,1,0
"53",2716,24,16,3588,1,0
"54",3338,29,12,2313,1,0
"55",3466,39,16,1050,0,0
"56",3188,45,12,1175,0,0
"57",2879,25,17,2363,1,0
"58",2821,23,9,3825,1,0
"59",4545,40,11,835,1,0
"60",2580,37,14,4011,1,1
"61",2905,27,12,3648,1,1
"62",3213,48,8,3273,0,0
"63",3778,30,16,1571,1,1
"64",1546,36,12,3316,0,0
"65",2113,33,14,2488,1,1
"66",3240,49,8,1038,0,0
"67",3505,59,13,2398,1,0
"68",2618,32,16,2763,1,0
"69",4063,41,12,1205,1,0
"70",2536,59,9,2326,0,0
"71",2765,44,17,2511,0,0
"72",2945,62,10,1263,0,0
"73",3120,38,12,2948,1,0
"74",3303,56,12,2226,1,0
"75",3720,36,12,2100,0,0
"76",3460,27,14,0,0,0
"77",3631,32,12,1650,1,0
"78",3225,35,12,638,1,0
"79",3795,36,9,1555,1,0
"80",3875,26,14,2088,1,1
"81",3285,55,15,2493,1,0
"82",2940,41,17,1725,0,0
"83",3108,27,12,1863,0,0
"84",3368,32,17,2353,1,0
"85",3218,39,17,2026,0,0
"86",3443,25,17,2996,0,0
"87",3176,31,17,2163,0,0
"88",3195,38,14,1578,1,0
"89",3130,27,14,2450,0,0
"90",2800,28,12,0,0,1
"91",2818,32,12,2505,1,0
"92",2708,49,12,2325,0,0
"93",3310,49,12,2826,1,0
"94",3300,37,12,3213,1,0
"95",3498,59,12,1015,1,0
"96",3270,23,17,1960,0,0
"97",2943,54,14,2575,0,0
"98",2895,50,12,3411,0,0
"99",3113,56,10,2031,0,0
"100",2400,30,12,3146,1,1
"101",2870,25,13,1830,0,0
"102",3435,24,15,1920,1,0
"103",3245,27,17,305,0,1
"104",3800,52,5,1925,0,0
"105",2560,56,12,3018,1,0
"106",2970,44,12,2880,0,0
"107",3435,53,12,0,0,0
"108",3628,58,7,0,1,0
"109",3176,39,12,2225,1,0
"110",3113,34,10,2563,0,0
"111",3475,59,8,3008,0,0
"112",3151,40,17,1263,0,0
"113",3203,34,11,2463,1,0
"114",3365,27,15,2203,0,1
"115",2985,31,15,0,0,0
"116",2875,24,14,2301,1,0
"117",3601,26,12,283,0,0
"118",3278,33,17,1853,0,1
"119",3383,32,12,2638,1,0
"120",3750,62,17,2226,1,0
"121",3503,35,12,1588,1,0
"122",3705,32,12,940,0,0
"123",3098,27,12,3480,1,0
"124",2655,25,13,2688,1,0
"125",3230,25,17,2150,1,0
"126",3630,27,12,1213,0,1
"127",3630,54,14,2300,1,0
"128",3455,31,16,2828,0,0
"129",3818,28,12,125,0,0
"130",2891,30,12,2163,0,1
"131",3388,36,17,1913,1,0
"132",3068,31,12,2373,0,0
"133",3045,26,12,2313,1,1
"134",3216,31,14,2263,1,0
"135",3305,39,12,2620,1,0
"136",3608,32,12,2100,0,0
"137",3213,28,12,2288,1,0
"138",2920,31,14,5020,1,0
"139",3225,42,16,2535,1,0
"140",2678,25,15,800,0,1
"141",4005,34,10,520,0,0
"142",3611,39,17,2575,1,0
"143",2661,40,14,2485,1,0
"144",3308,27,12,1613,1,0
"145",3335,54,12,2438,1,0
"146",3853,23,16,1173,0,0
"147",3150,44,16,1075,1,0
"148",4350,60,12,480,1,0
"149",3225,59,12,2260,0,0
"150",3460,56,9,2250,0,0
"151",3773,25,12,0,0,0
"152",2910,31,12,2450,0,0
"153",3123,49,12,2483,1,0
"154",2799,23,16,2700,1,0
"155",2983,32,12,2025,0,0
"156",3390,52,12,583,0,0
"157",3675,34,10,2113,1,0
"158",3245,30,12,2475,1,0
"159",2700,33,14,2206,0,0
"160",3210,61,12,1563,0,0
"161",3953,57,14,2351,0,0
"162",3338,42,12,2588,1,0
"163",3015,29,12,2640,1,0
"164",2670,44,17,2815,1,0
"165",2678,33,12,2755,1,0
"166",3405,55,14,375,0,0
"167",3263,25,12,2250,1,1
