"Score","Default"
438,1
429,0
379,0
422,0
352,0
445,0
439,0
424,0
437,0
423,0
430,1
421,0
439,0
389,1
386,0
444,0
371,1
368,0
381,0
391,0
445,0
411,0
441,1
380,0
357,1
366,0
406,0
379,0
378,0
424,1
357,1
416,0
412,0
368,0
370,0
424,0
384,0
433,1
421,0
411,1
442,0
386,0
450,0
385,0
415,0
444,0
390,0
362,0
366,0
374,0
409,0
404,0
437,0
390,0
380,1
424,0
360,0
416,0
393,0
389,1
351,0
433,0
378,0
396,0
424,0
436,0
360,0
428,1
389,0
411,1
371,0
374,0
436,0
396,1
446,0
408,1
392,0
358,0
445,0
390,0
350,0
392,0
434,0
395,0
379,0
364,0
392,0
394,0
405,0
417,0
404,0
380,1
427,0
420,0
398,0
366,0
428,1
408,0
402,0
448,0
369,0
361,0
435,0
430,1
381,0
397,1
442,0
441,0
436,0
376,1
396,0
382,0
402,1
363,0
435,1
366,0
415,0
429,0
405,0
438,0
448,0
362,0
418,0
420,0
369,0
353,1
409,0
440,0
385,0
444,1
353,0
407,0
402,0
350,0
410,1
404,0
422,0
433,0
447,0
413,0
385,0
358,1
447,0
423,0
379,0
403,0
403,1
386,0
378,0
383,0
411,0
384,0
364,0
406,0
374,1
440,0
438,0
394,1
444,1
425,0
390,0
418,0
384,1
404,0
385,1
449,0
410,0
442,0
366,1
375,0
420,0
374,0
375,0
441,1
372,0
379,0
407,0
419,0
390,1
377,0
413,0
423,0
354,0
423,0
352,0
407,0
440,0
393,0
401,0
389,0
450,0
403,0
387,0
398,0
356,0
428,0
362,0
391,0
431,0
350,0
475,0
539,0
534,0
509,0
530,0
469,0
532,0
468,0
505,0
543,0
534,0
456,1
480,0
541,0
457,0
509,0
534,0
494,0
450,0
489,0
451,0
481,0
508,0
522,0
544,0
512,0
456,0
485,0
450,0
495,0
530,1
547,0
548,0
462,0
497,0
479,0
501,0
458,0
531,0
464,1
549,0
541,0
509,0
518,0
536,0
502,0
486,0
546,0
530,0
502,0
524,1
450,0
490,0
532,0
542,0
520,0
511,0
528,0
457,0
539,0
550,0
529,0
473,0
477,0
483,0
541,1
451,0
532,0
525,0
519,1
508,0
524,0
521,0
477,0
531,0
506,0
546,0
533,0
466,0
483,1
509,0
525,0
487,0
524,0
540,0
549,0
490,0
457,0
504,0
527,0
457,0
545,0
476,0
463,0
491,0
546,0
496,0
481,0
465,0
458,1
517,0
490,0
470,1
488,0
540,0
523,0
493,0
465,0
479,0
489,0
470,0
536,0
550,0
545,0
513,0
499,0
529,0
539,0
453,0
478,0
500,1
471,0
549,0
537,0
547,0
473,0
501,0
543,0
541,0
539,0
538,0
452,0
516,0
450,0
530,0
532,0
478,1
469,0
462,0
539,0
453,0
494,0
537,0
543,0
453,0
463,0
518,0
451,0
524,0
525,1
519,1
537,0
485,0
485,0
459,0
480,0
471,0
549,0
455,0
526,0
521,0
468,0
547,0
473,0
460,0
511,0
487,0
543,0
476,0
458,0
527,0
469,1
473,0
496,0
478,0
483,0
470,1
470,0
481,0
500,0
519,0
544,0
550,0
540,0
510,1
536,0
464,0
465,0
461,0
502,0
522,0
541,0
503,0
464,0
523,0
494,0
481,0
457,0
542,0
468,0
570,0
589,0
608,0
587,0
617,0
570,1
617,0
580,0
638,0
628,0
593,0
551,0
570,0
558,0
619,0
632,0
550,0
587,0
569,1
562,1
626,0
568,0
556,0
577,0
560,0
603,0
617,0
612,0
636,0
603,0
553,0
614,0
582,1
564,0
607,0
628,0
635,0
570,0
571,0
577,0
650,0
591,0
628,0
551,0
588,0
624,0
643,0
628,0
587,0
616,0
570,0
611,0
614,0
590,0
570,0
597,0
640,0
624,0
631,0
579,0
595,0
588,0
551,0
587,0
572,0
565,0
648,0
612,0
558,0
635,0
611,0
561,0
595,0
632,0
585,0
636,0
595,0
578,0
640,0
550,0
570,0
564,0
629,0
611,0
556,0
599,0
553,0
592,0
649,0
563,0
600,0
620,0
610,0
607,0
561,0
633,0
597,0
636,0
591,0
567,0
565,0
565,0
610,0
593,0
614,0
643,0
597,0
550,0
591,0
590,0
553,0
623,0
624,0
646,0
604,0
558,0
564,0
579,0
599,0
615,0
609,0
588,0
574,0
553,0
648,0
553,0
605,0
591,0
626,0
630,0
616,0
603,0
612,0
582,0
557,0
582,0
605,0
623,0
581,0
623,0
590,0
562,0
638,0
633,0
566,0
645,0
593,0
610,0
569,0
586,0
634,0
637,0
637,0
595,0
622,0
554,0
581,0
598,0
558,0
583,0
622,0
640,0
603,0
641,0
609,0
650,0
613,0
564,0
621,0
619,0
635,0
566,0
644,0
624,0
630,0
557,0
645,0
648,0
643,0
622,0
554,0
616,0
636,0
576,0
612,0
581,0
601,1
622,0
564,1
555,0
555,0
618,0
588,0
583,0
580,0
556,0
590,0
617,1
594,0
632,0
716,0
697,0
741,1
679,0
698,0
658,0
732,0
651,0
656,0
681,0
692,0
727,0
671,0
719,0
680,0
742,0
735,0
653,0
662,0
679,0
745,0
689,0
659,0
690,0
735,0
702,0
660,0
652,0
747,0
711,0
711,1
711,0
701,0
660,1
710,0
665,0
676,0
686,0
699,0
655,0
670,0
691,0
654,0
714,0
651,0
700,0
727,0
666,0
688,0
686,0
695,1
680,0
663,0
716,0
683,0
712,0
664,0
721,0
654,0
728,0
671,0
665,0
667,0
714,0
665,0
658,0
736,0
734,0
698,1
657,0
697,0
746,0
683,0
737,0
698,0
653,0
659,0
654,0
698,0
742,0
737,0
654,0
740,0
733,0
742,0
686,0
669,0
689,0
716,0
719,0
701,0
721,0
724,0
743,0
702,0
735,0
738,0
694,0
651,0
735,0
698,0
728,0
717,0
657,0
692,0
739,0
673,0
660,0
709,0
671,0
685,1
704,0
739,0
677,0
704,0
652,0
707,0
714,0
674,0
664,0
701,0
703,0
744,0
745,0
728,0
694,0
682,0
663,0
655,0
741,0
687,0
686,0
709,0
668,0
741,0
713,0
665,0
656,0
667,0
708,0
720,0
684,0
703,0
706,0
650,0
747,0
