"Score","Default"
409,0
377,0
351,0
420,0
384,0
421,0
371,0
433,0
351,0
350,0
408,0
362,0
448,0
411,0
440,0
384,0
426,0
390,0
361,0
397,1
361,1
447,0
410,0
375,0
450,0
417,0
420,0
445,1
411,1
359,0
397,0
369,0
384,1
430,0
374,0
391,0
376,0
434,0
432,0
433,0
425,0
428,0
370,0
431,0
360,0
367,1
371,0
372,0
425,1
371,0
355,0
357,0
403,0
406,0
367,1
416,0
438,0
388,0
439,0
414,1
385,0
422,0
388,0
380,0
376,0
421,0
435,0
363,0
358,1
359,0
398,1
399,0
350,0
383,1
355,1
446,0
356,0
380,0
391,1
370,0
360,0
436,0
356,0
404,1
425,0
372,0
420,0
351,0
411,1
351,0
435,0
421,0
435,0
417,0
424,0
414,0
405,0
377,0
376,0
353,0
413,0
366,1
401,0
374,1
377,0
399,0
441,0
362,0
401,1
408,0
382,1
426,0
426,0
432,0
439,1
370,0
393,0
357,0
385,1
372,0
409,0
357,0
376,0
377,0
400,0
447,0
417,1
383,1
394,0
385,1
424,0
435,0
393,0
353,0
417,0
359,0
362,0
417,0
357,0
427,0
409,0
412,0
418,0
424,0
416,0
353,0
397,1
391,1
445,0
437,0
378,0
413,0
376,0
358,0
354,0
390,0
370,0
421,0
362,0
411,0
379,0
445,0
424,0
419,0
448,0
375,0
439,0
438,1
357,1
427,0
438,0
350,0
373,0
420,0
409,0
377,0
413,0
366,0
399,0
350,1
399,0
423,0
439,1
368,1
415,0
421,1
416,0
373,0
400,0
352,1
375,0
374,0
391,1
350,0
384,1
390,0
383,0
362,0
381,0
401,0
475,0
512,0
520,0
476,0
470,0
482,1
493,0
492,0
503,0
503,0
501,0
473,0
469,0
545,0
498,0
543,0
498,0
534,0
450,0
493,0
544,0
487,0
482,0
528,0
502,0
451,1
485,0
483,0
457,0
473,0
535,0
488,0
451,1
548,0
456,0
477,0
501,1
508,0
462,0
464,0
520,0
484,0
525,0
454,0
529,0
493,0
531,0
506,0
502,0
548,0
529,0
460,0
534,0
515,0
467,1
505,0
505,0
472,1
495,1
535,0
472,0
515,0
517,1
501,0
533,0
464,0
542,1
523,0
468,1
482,0
512,0
550,1
462,0
481,0
511,0
537,0
526,1
455,0
502,1
453,0
515,0
545,0
456,0
474,0
471,0
512,0
537,0
533,0
468,0
482,0
502,0
498,0
457,0
503,0
511,0
452,1
452,0
476,0
452,1
516,1
476,0
523,0
538,0
531,0
507,0
466,0
506,0
523,0
496,1
454,0
509,0
508,0
450,0
455,1
537,0
513,0
460,0
522,0
478,0
459,0
526,0
496,0
498,0
488,0
476,0
497,0
492,0
538,0
466,1
460,0
547,0
454,0
515,0
499,0
536,0
475,0
451,1
530,0
492,0
464,0
480,0
467,1
496,1
496,0
512,0
452,0
520,0
459,0
463,0
510,0
479,0
453,0
543,0
545,0
531,0
455,1
505,0
478,0
541,0
469,0
525,0
511,0
528,0
450,0
544,0
544,0
529,0
457,0
522,0
506,0
490,0
488,0
496,1
467,0
451,1
531,0
482,0
538,1
511,1
481,0
457,0
478,0
527,0
522,0
520,0
538,0
515,0
467,0
487,0
462,0
476,0
522,1
481,0
525,0
503,0
537,0
539,0
470,0
494,0
537,0
603,0
616,0
567,0
558,0
565,0
611,0
608,0
566,0
587,0
637,0
632,0
551,0
566,0
580,0
560,0
643,0
632,0
619,0
602,0
593,0
562,0
642,0
555,0
595,0
611,0
597,0
599,0
627,0
649,0
564,0
580,0
638,0
550,0
628,0
569,0
561,0
591,0
597,0
604,0
622,1
611,0
616,0
570,0
606,1
614,0
565,0
639,0
588,0
634,0
592,0
553,0
606,0
606,0
561,0
585,0
558,0
643,0
648,0
626,0
638,0
578,0
592,0
575,0
556,1
573,0
554,0
630,0
568,0
594,0
560,0
631,0
602,0
562,0
573,0
566,0
561,0
598,0
599,0
614,0
573,0
599,0
601,0
596,0
580,0
594,0
582,0
587,0
603,0
602,0
550,0
566,1
567,0
616,0
560,0
573,0
645,0
551,0
644,0
607,0
636,0
648,0
585,0
647,0
597,0
649,0
608,0
625,0
555,0
641,1
586,0
584,0
612,0
555,0
579,0
601,0
594,0
570,0
621,0
568,0
575,0
610,0
577,0
575,0
617,0
576,0
635,0
630,0
632,0
584,0
623,0
641,0
572,0
571,0
629,0
643,0
619,0
604,0
639,0
573,0
603,0
649,0
599,0
594,0
566,0
638,1
635,0
615,0
633,0
603,0
594,0
613,0
575,0
581,0
650,0
591,0
580,0
635,1
616,0
556,0
638,0
615,0
645,0
598,0
554,0
558,0
646,0
602,0
622,0
645,0
610,0
576,0
606,0
567,0
613,0
556,0
582,0
597,0
614,0
628,0
603,0
589,0
569,0
636,0
566,0
612,0
629,0
625,0
552,0
639,0
622,0
555,0
626,0
584,0
630,0
638,0
570,0
632,0
578,0
569,0
629,1
725,0
744,0
666,0
713,0
662,0
723,1
664,0
662,0
698,0
673,0
676,0
736,0
732,0
670,0
700,0
704,0
685,0
653,1
724,0
730,0
694,0
703,0
702,0
681,0
650,0
680,0
712,0
726,0
728,0
672,0
704,0
723,0
710,0
741,0
745,0
702,0
691,0
689,0
703,0
684,0
686,0
720,1
739,0
737,0
731,0
744,0
670,0
669,0
651,0
715,0
729,0
723,0
676,0
656,0
663,0
711,0
720,0
749,0
738,0
668,0
686,0
672,0
670,0
662,0
724,0
707,0
682,0
658,0
666,0
741,0
656,0
716,0
712,0
665,0
675,0
732,0
680,0
702,0
695,0
732,0
739,0
743,0
707,0
707,0
736,0
724,0
702,0
687,0
750,0
693,0
700,0
691,0
725,0
723,0
710,0
723,0
691,0
663,0
736,0
739,0
735,0
655,0
725,0
710,0
742,0
703,0
675,0
715,0
685,0
728,0
715,0
687,0
663,0
682,0
651,0
705,0
726,0
686,0
727,0
733,0
727,0
708,0
710,0
662,0
702,0
745,0
719,0
746,1
650,0
698,0
651,0
735,0
673,0
697,0
721,0
736,0
732,0
716,0
750,0
689,0
725,0
655,0
724,0
726,0
740,0
657,0
744,0
724,0
748,0
692,0
693,0
656,0
683,0
728,0
676,0
699,0
684,0
653,0
738,0
737,0
688,0
665,0
710,0
707,0
747,0
689,0
650,0
748,0
668,0
709,0
679,0
708,0
667,0
671,0
674,0
657,0
659,0
650,0
711,0
678,1
698,0
685,0
702,0
717,0
693,0
748,0
699,0
656,0
690,0
727,0
739,0
674,0
718,0
678,0
723,0
736,0
705,0
743,0
679,0
706,0
820,0
753,0
809,0
819,0
813,0
801,0
777,0
793,0
785,0
800,0
769,0
831,0
787,0
817,0
769,0
846,0
838,0
830,0
777,0
781,0
788,0
802,0
820,0
781,0
796,0
762,0
792,0
803,0
814,0
806,0
810,0
792,0
825,0
816,0
807,0
827,0
756,0
782,0
812,0
813,0
847,0
802,0
822,0
797,0
772,0
834,0
799,0
804,0
811,0
829,0
795,0
838,0
839,0
809,0
838,0
788,0
811,0
828,0
758,1
803,0
819,0
850,0
754,0
762,0
805,0
784,0
780,0
799,0
760,0
844,0
839,0
814,0
778,0
763,0
766,0
818,0
823,0
839,0
784,0
767,0
829,0
795,0
790,0
807,0
771,0
834,0
833,0
825,0
792,0
845,0
811,0
817,0
758,0
772,0
807,0
760,1
764,0
802,0
762,0
781,0
779,0
792,0
766,0
809,0
767,0
761,0
781,0
770,0
779,0
813,0
833,0
847,0
816,0
753,0
816,1
845,0
836,0
829,0
778,0
828,0
753,0
816,0
785,0
797,0
795,0
812,0
837,0
827,0
769,0
761,0
751,0
787,0
831,0
831,0
795,0
848,0
778,0
767,0
769,0
753,0
835,0
850,0
751,0
752,0
798,0
790,0
837,0
765,0
751,0
799,0
830,0
795,0
798,0
811,0
818,0
775,0
787,0
803,1
812,0
850,0
793,0
802,0
794,0
796,0
850,0
839,0
847,0
820,1
813,0
788,0
