"Score","Default"
375,0
422,0
431,0
369,0
403,0
430,0
437,0
399,1
370,0
404,0
441,0
377,0
361,0
430,1
436,0
381,0
420,0
362,0
408,0
440,0
388,0
429,0
365,0
355,0
402,0
372,0
421,0
393,0
422,0
400,0
392,0
401,0
396,0
397,0
396,0
384,0
386,1
419,0
397,0
385,1
369,0
379,0
394,0
350,0
355,1
415,0
386,0
424,0
360,0
406,0
358,1
435,0
409,0
412,0
351,0
414,0
448,0
387,0
403,0
440,0
364,1
430,0
371,1
377,1
421,0
422,0
421,0
400,0
449,0
429,0
350,1
416,0
386,0
390,0
398,0
390,1
377,0
407,0
423,0
387,0
373,0
447,0
418,0
403,0
433,1
402,1
440,0
425,1
402,1
390,1
436,0
387,0
421,0
391,0
394,0
436,0
358,0
446,0
450,0
445,0
445,0
386,0
426,0
428,1
384,0
357,0
427,1
430,0
406,0
438,0
416,0
359,0
441,0
419,1
421,0
401,0
435,0
386,0
415,0
352,0
421,0
420,0
363,0
398,0
404,0
392,0
356,1
421,0
409,0
363,0
432,0
430,0
366,1
438,0
372,0
416,0
422,0
426,0
444,0
401,0
439,0
354,0
398,0
391,0
444,0
351,1
417,0
428,1
376,1
432,0
411,1
432,0
442,0
376,0
444,0
400,1
362,0
362,0
385,0
391,0
448,0
426,0
421,0
358,0
397,0
387,0
432,0
432,0
402,0
366,1
407,0
426,1
372,0
380,0
370,0
360,0
404,1
354,0
406,0
450,0
377,1
403,1
387,0
438,0
412,1
399,1
407,1
355,0
444,1
425,0
389,0
407,0
408,1
435,0
352,0
400,0
405,0
411,0
450,0
421,0
456,0
522,0
530,0
513,0
536,0
542,1
540,0
463,0
480,0
500,1
535,0
455,0
450,1
450,0
519,0
512,0
472,0
494,0
506,0
474,1
519,0
496,0
545,0
520,0
536,0
463,0
475,0
538,0
518,0
514,0
509,0
481,1
451,0
468,0
507,0
478,0
489,0
492,1
472,0
472,0
455,1
541,0
517,0
459,0
548,0
524,0
472,0
486,0
544,0
518,0
489,0
543,0
462,0
514,0
523,0
471,0
480,1
514,0
499,0
504,0
489,0
515,0
550,0
525,0
486,0
541,0
538,0
467,0
533,0
461,0
523,0
508,0
469,0
486,0
540,0
496,1
532,1
524,0
459,0
463,0
536,0
537,0
465,0
487,0
492,0
512,0
543,0
461,0
543,0
533,1
546,0
475,0
508,0
474,0
530,0
452,0
455,1
516,0
489,0
497,0
489,0
510,0
471,0
544,0
492,0
499,0
520,0
521,0
535,0
484,0
473,0
454,0
507,0
550,0
487,0
484,0
454,0
534,0
517,0
469,0
458,0
509,0
545,0
537,0
520,0
524,0
517,0
501,0
488,0
467,0
481,0
500,0
504,0
549,0
460,0
489,1
525,0
475,0
483,0
549,0
523,1
466,0
532,0
513,0
458,0
549,0
457,0
461,1
509,0
494,0
548,0
531,0
490,0
516,0
451,0
548,0
504,1
513,0
540,1
535,0
524,0
542,0
472,0
494,0
512,0
514,0
478,0
511,0
550,0
522,0
513,0
500,0
515,1
510,0
540,0
544,1
466,0
477,0
506,0
462,0
459,0
540,0
550,0
478,0
475,0
457,0
490,0
540,0
451,0
530,0
453,0
510,0
497,0
513,0
479,0
536,0
536,0
543,0
492,0
