"Score","Default"
415,0
351,1
442,0
412,1
433,0
435,0
408,0
380,0
404,0
407,1
444,1
371,0
421,0
352,0
357,0
356,1
432,0
360,0
378,0
438,0
425,0
442,0
398,0
448,0
409,0
352,1
405,0
444,0
444,0
436,0
408,0
371,0
361,0
444,0
363,0
387,0
402,0
367,1
357,0
368,0
419,0
353,1
433,1
360,1
371,0
376,0
353,0
387,0
429,0
356,0
433,0
370,0
395,0
361,0
372,0
378,0
440,1
426,0
441,1
419,0
404,0
435,0
389,0
361,0
377,0
435,0
357,0
379,0
358,0
399,0
363,1
437,0
428,0
362,0
412,1
356,0
427,0
422,0
426,0
419,0
369,0
426,0
383,0
421,0
427,0
355,0
419,0
379,1
411,0
391,0
352,0
376,0
433,0
399,0
388,1
439,1
391,0
424,0
445,0
447,0
411,0
350,1
367,0
358,0
387,0
387,0
389,1
437,0
427,0
354,0
417,0
450,0
408,0
400,0
439,0
351,0
411,0
386,0
411,0
407,1
352,0
424,0
400,0
414,0
405,1
404,0
433,0
450,1
395,0
394,0
434,0
430,0
369,1
432,0
427,0
420,0
357,0
428,0
393,1
356,0
355,0
444,0
401,0
409,0
379,0
440,1
443,0
383,1
412,0
379,0
382,0
422,0
353,0
435,0
416,1
365,1
417,0
436,0
377,1
418,0
382,0
355,1
394,0
367,0
387,0
353,0
357,0
450,0
394,0
389,0
413,0
375,0
377,0
435,0
365,0
395,0
366,1
357,0
372,1
404,0
410,0
384,0
439,0
379,0
418,0
435,0
357,0
427,1
422,1
371,0
442,0
394,1
371,0
386,0
378,0
434,0
417,0
390,0
423,0
447,0
467,0
511,0
513,0
519,0
476,0
483,0
549,0
524,0
455,0
498,0
548,0
510,0
512,0
532,1
478,0
500,0
530,0
477,1
494,0
516,0
529,0
452,0
549,0
541,0
528,0
510,0
470,0
462,0
479,0
547,0
514,0
451,0
494,0
479,0
545,0
494,1
518,0
510,1
514,0
517,0
474,0
537,0
540,0
511,0
505,0
483,0
529,0
465,0
548,0
453,0
514,0
548,0
540,0
497,0
468,0
492,0
475,0
525,0
467,0
508,0
540,0
545,0
539,0
485,0
512,0
470,0
469,1
468,1
485,0
476,0
534,0
513,0
519,0
526,0
536,0
540,0
477,0
503,1
520,0
515,0
540,0
544,0
473,1
531,0
480,0
501,0
547,0
512,0
501,0
452,0
536,0
450,0
491,0
549,0
516,0
525,0
547,0
476,0
461,1
530,0
502,0
505,0
491,0
506,1
506,0
492,0
469,0
503,0
485,0
501,1
477,0
474,1
482,0
516,0
496,0
534,0
531,0
535,0
513,0
485,0
547,1
472,0
514,0
479,0
537,0
463,0
452,0
504,0
528,0
497,0
458,0
495,0
485,0
550,0
515,0
472,0
543,0
474,0
545,0
518,0
461,1
503,0
499,0
547,0
481,0
539,0
475,0
539,0
483,0
543,0
478,0
457,0
458,0
469,0
472,0
515,1
499,0
540,0
464,0
512,0
550,0
489,0
482,0
472,0
499,0
537,1
500,0
541,0
508,0
513,0
458,0
460,0
481,0
503,0
474,0
484,1
490,0
457,0
460,1
526,0
484,0
526,0
491,0
520,0
473,0
484,0
543,0
489,0
542,0
516,0
499,0
499,0
503,0
534,0
515,0
460,0
510,1
476,0
550,0
480,0
612,0
619,0
558,0
580,0
569,0
626,0
607,0
580,1
570,0
625,0
553,0
554,0
566,0
553,0
620,0
559,0
554,0
583,0
621,0
589,0
558,0
578,1
634,0
619,0
640,0
602,0
616,0
633,0
637,0
606,0
566,0
600,0
642,0
578,0
572,0
570,0
550,0
635,0
614,0
636,0
638,0
595,1
576,0
623,0
582,0
591,0
574,0
591,0
556,0
550,0
577,0
582,0
620,0
582,0
628,0
598,0
573,0
550,0
633,0
575,0
615,1
578,0
554,0
605,0
553,0
576,0
647,0
614,0
579,0
595,0
581,0
629,0
589,0
607,0
593,0
585,0
608,0
650,0
599,0
625,0
585,0
566,0
583,0
636,0
575,0
572,0
630,0
604,0
565,0
597,0
638,0
606,0
582,0
551,0
583,0
602,0
649,0
600,0
643,1
646,0
565,0
627,0
650,0
590,0
593,0
640,0
567,0
615,0
619,1
608,0
623,0
583,0
574,0
643,0
623,0
650,0
553,0
640,0
633,0
623,0
626,0
619,0
571,0
590,0
620,0
571,1
650,0
623,0
624,0
590,0
628,0
586,0
564,0
627,0
558,0
636,0
588,0
600,0
635,0
569,0
552,0
610,0
638,0
644,0
611,0
634,0
618,0
615,0
644,0
579,1
552,0
582,0
573,0
613,0
622,0
584,0
618,0
638,0
635,0
639,0
634,0
599,0
641,0
561,0
574,0
600,0
622,0
600,0
622,0
601,0
583,0
633,0
550,0
622,0
632,0
556,0
612,0
621,0
635,0
563,0
644,0
601,0
582,0
577,0
577,0
588,0
610,0
648,0
643,0
551,0
588,0
569,0
639,0
598,1
604,0
587,1
647,0
556,0
560,0
556,0
694,0
679,0
660,0
749,0
682,0
731,0
723,0
662,0
684,0
732,0
668,0
724,0
708,0
672,0
730,0
694,0
654,0
686,0
673,0
728,0
675,1
743,0
679,0
742,0
700,0
685,0
656,0
698,0
717,0
707,0
716,0
721,0
738,0
671,0
748,1
699,0
734,0
730,0
663,0
747,0
692,0
736,0
654,1
701,0
663,0
721,0
682,0
685,0
667,0
744,0
662,0
655,0
736,0
655,0
702,0
726,0
736,0
713,0
709,0
746,0
745,0
688,0
739,0
735,0
697,0
747,0
679,0
715,0
714,0
741,0
692,0
703,0
711,0
727,0
693,0
729,0
682,0
659,0
699,0
650,0
660,0
724,0
709,0
717,0
660,0
668,0
673,0
653,0
671,0
700,1
742,0
690,0
744,0
653,0
658,1
750,0
718,0
657,0
689,0
723,0
660,0
727,0
664,0
745,1
709,0
726,1
708,0
714,0
655,0
722,0
667,0
695,0
722,0
741,0
710,0
665,0
726,0
667,0
700,0
714,0
652,0
679,0
741,0
651,0
655,0
703,0
711,0
681,0
739,0
718,0
668,1
735,0
662,0
690,0
736,0
699,0
665,0
714,0
695,0
657,0
704,0
717,0
668,0
728,0
662,0
728,0
655,0
675,0
690,0
743,0
719,0
711,0
706,0
697,0
666,0
655,0
693,0
689,0
724,0
701,0
683,0
714,0
695,0
661,0
745,0
705,0
669,0
679,0
663,0
739,0
715,0
666,0
692,0
703,0
712,0
719,0
715,0
668,0
681,0
655,1
682,0
680,0
731,0
681,0
660,0
702,0
678,0
731,0
666,0
676,0
659,0
735,0
746,0
671,0
744,0
750,0
700,0
655,0
690,0
705,0
801,0
798,0
810,0
827,0
779,0
840,0
805,0
762,0
786,0
774,0
810,0
757,0
838,0
816,0
803,0
847,0
846,0
764,0
839,0
824,0
797,0
763,0
755,0
761,0
767,0
848,0
850,0
782,0
767,0
786,0
835,0
846,0
778,0
762,0
803,0
777,0
819,0
842,0
752,0
814,0
842,0
844,0
761,0
838,0
839,0
797,0
784,0
754,0
847,0
810,0
850,0
820,0
849,0
753,0
837,0
835,0
799,0
836,0
792,0
843,0
809,0
763,0
775,0
844,0
834,0
805,0
786,0
809,0
786,0
833,0
808,0
849,0
756,1
794,0
770,0
842,0
787,0
828,0
828,0
784,0
789,0
792,0
771,0
813,0
816,0
754,0
791,0
794,0
753,0
757,0
788,0
809,0
847,0
846,0
772,0
759,0
823,0
803,0
839,0
807,0
821,0
803,1
760,0
772,0
812,0
763,0
824,0
822,0
829,0
824,0
828,0
773,0
784,0
847,0
761,1
796,0
813,0
774,0
847,0
832,0
751,0
803,0
847,0
770,0
791,0
752,0
814,0
818,0
789,0
819,0
787,0
838,0
822,0
792,0
787,0
773,0
760,0
779,0
832,0
841,0
782,0
759,0
822,0
821,0
778,0
793,0
780,0
825,0
816,0
839,0
840,0
846,0
751,0
755,0
797,0
803,0
775,0
780,0
821,0
765,0
831,0
843,0
762,0
772,0
825,0
774,0
781,0
843,0
792,0
824,0
784,0
834,0
826,0
841,0
847,0
752,0
814,0
806,0
764,0
850,0
767,0
828,0
798,0
829,0
789,0
844,0
809,0
831,0
808,0
826,0
847,0
752,0
842,0
754,0
817,0
768,0
842,0
754,0
826,0
829,0
