sleep	age	educ	totwrk	male	yngkid
3113	32	12	3438	1	0
2920	31	14	5020	1	0
2670	44	17	2815	1	0
3083	30	12	3786	0	0
3448	64	14	2580	1	0
4063	41	12	1205	1	0
3180	35	12	2113	1	1
2928	47	13	3608	1	0
3368	32	17	2353	1	0
3018	30	15	2851	1	0
1575	43	8	6415	1	0
3295	23	16	370	0	0
3798	24	16	2438	1	0
3008	48	5	2693	1	0
3248	33	12	2526	1	0
3683	23	12	2950	1	0
3201	46	17	3003	1	0
2580	37	14	4011	1	1
3420	53	12	2300	1	0
3090	45	17	1543	1	0
2760	46	17	3473	1	0
2880	40	13	3276	1	0
3470	53	12	2506	1	0
2673	29	13	2651	1	0
2820	29	12	4580	1	0
2873	53	12	3588	1	0
1905	28	13	3418	1	0
2926	35	12	2250	0	0
2603	36	12	2638	1	1
3238	59	12	3173	1	0
3888	26	12	3446	1	0
2716	24	16	3588	1	0
3245	28	16	2961	1	0
3158	39	16	2778	1	0
3105	33	17	3080	1	0
3515	28	17	3556	1	0
3330	33	12	2788	1	0
4153	47	12	1100	1	0
2955	31	16	3116	1	1
2200	26	12	2506	1	0
2885	31	15	2763	1	0
3345	38	16	3048	1	0
2765	44	17	2511	0	0
3928	49	12	3268	1	0
2833	56	11	3242	1	0
3750	41	12	2550	1	0
3328	36	12	3188	1	0
3795	36	9	1555	1	0
3363	37	12	2743	1	0
2280	23	9	5043	1	0
4151	29	10	3570	1	0
3266	29	17	2883	1	0
3570	26	16	2398	1	0
2885	29	16	2663	1	1
2879	25	17	2363	1	0
2790	24	14	1800	0	0
2799	23	16	2700	1	0
3173	28	12	3031	1	0
3308	29	17	2438	1	1
3305	39	12	2620	1	0
2975	31	12	2698	0	0
3316	50	8	2970	1	0
3226	36	10	2430	1	0
3635	28	12	2250	0	0
3233	50	11	2888	1	0
3348	50	12	1345	1	0
2630	50	13	2925	0	0
2858	55	12	3976	0	0
3203	34	16	2205	0	0
3451	44	12	1208	1	0
3008	30	16	2905	1	1
2821	23	9	3825	1	0
3525	32	16	2348	1	1
3150	40	15	1825	1	0
3113	34	10	2563	0	0
2816	23	16	2576	0	0
3105	24	12	2275	1	1
3605	39	12	3595	1	0
