"Score","Default"
418,0
384,1
350,0
378,0
449,1
382,0
417,0
439,0
393,0
386,1
400,1
384,0
418,0
432,0
394,0
359,1
408,0
356,1
449,0
447,0
417,1
438,1
377,0
440,0
433,0
387,0
434,0
352,0
426,0
388,1
410,0
373,0
356,0
426,0
387,1
442,0
407,1
425,0
404,0
385,0
400,0
440,0
389,0
429,1
352,0
411,0
409,0
414,1
436,0
436,0
368,0
412,0
449,0
440,0
401,1
411,0
422,0
379,0
364,0
354,0
384,0
379,0
386,0
447,0
378,0
396,1
367,0
370,0
356,1
449,0
441,0
365,0
430,0
405,1
424,0
418,0
447,0
392,0
369,0
363,0
436,0
424,0
402,0
362,1
406,0
422,0
400,1
411,1
439,0
433,1
410,0
407,0
376,0
375,0
424,0
364,1
393,1
360,1
370,0
409,0
450,1
373,0
417,1
450,0
409,0
436,0
447,0
432,0
403,0
447,0
374,0
399,0
376,0
428,0
447,0
392,0
427,0
366,1
367,0
428,1
409,0
430,0
360,0
350,1
420,0
400,0
425,0
419,0
371,0
424,0
363,0
440,1
448,1
446,1
404,0
407,0
390,1
377,1
372,0
409,1
392,0
425,0
372,1
396,0
429,0
417,0
370,0
430,0
390,0
444,0
378,0
430,0
417,1
358,0
419,1
414,0
446,1
425,1
444,0
448,0
398,1
356,0
444,0
407,1
390,1
367,1
378,0
420,0
386,0
409,0
387,0
367,0
450,0
389,0
440,0
399,0
384,0
414,0
375,0
362,0
384,0
434,0
421,0
397,0
404,0
400,1
424,0
392,0
357,0
436,0
355,1
425,0
433,0
437,0
437,0
420,0
355,0
362,0
371,0
371,0
492,0
519,0
502,0
507,0
469,0
474,0
454,1
479,0
515,0
507,0
450,0
511,0
458,0
470,0
536,0
480,0
476,0
522,0
483,0
484,0
454,0
515,0
481,0
500,1
541,0
482,0
460,0
513,0
544,0
500,0
527,0
544,0
496,0
541,0
461,0
523,0
469,0
514,0
461,0
517,0
472,0
522,0
461,0
451,0
463,0
508,0
482,0
469,0
485,0
481,0
502,0
527,0
479,0
474,0
508,0
487,0
454,0
506,1
455,0
539,1
460,0
454,0
505,0
518,0
496,0
454,0
518,1
523,0
507,0
504,0
488,0
507,0
506,0
526,0
509,1
451,0
515,0
464,0
465,1
472,0
476,0
550,0
543,0
459,1
542,0
546,0
466,0
461,0
512,0
543,0
527,0
527,0
497,1
479,0
461,0
460,0
519,0
501,0
510,1
469,0
525,0
500,0
544,0
528,1
472,0
514,0
535,0
