"PRICE" "AGE" "SQFT" "BDRMS" "BATHS"
82000 40 832 3 2
155000 31 974 3 4
145000 72 840 4 4
69900 63 1080 1 2
45000 65 1060 2 1
70000 41 912 1 2
100000 35 1244 3 2
146000 17 1632 5 3
208500 28 840 4 1
109900 23 1440 3 1
71000 57 924 1 2
140000 34 1376 6 4
6500 87 1075 2 1
240000 22 1482 3 1
96900 39 1372 2 3
59000 45 1428 2 2
82375 66 1228 3 2
32000 92 1046 2 1
89900 19 960 2 1
47125 72 1325 2 2
89000 38 912 4 2
64000 53 1064 3 2
32000 86 950 1 1
58450 41 912 1 1
83000 97 1139 3 2
52000 88 992 2 2
55500 77 952 2 1
72000 63 876 3 2
115200 34 1456 4 4
58000 62 918 1 1
66000 41 912 2 1
61000 87 990 2 2
113000 33 1488 2 2
75200 35 994 1 3
130000 34 1505 2 2
134000 97 1497 4 1
81900 48 1192 2 1
105000 112 1192 4 2
65000 50 980 3 2
125000 35 1218 4 1
69500 41 1056 1 1
110000 39 1232 2 4
49000 57 752 2 1
226000 15 2266 3 1
70500 71 938 2 1
25000 102 1581 1 1
62000 82 1039 2 2
77000 67 1449 3 2
40000 82 976 2 2
52500 97 920 2 2
69900 45 912 2 2
171000 17 1906 5 2
132000 14 1608 3 1
148000 29 2154 4 1
45000 82 768 2 2
80000 19 1196 2 1
45000 39 932 2 1
18025 92 1240 1 1
71000 35 1128 3 3
90000 16 1568 4 2
5000 97 1176 2 1
36000 87 1016 1 1
69000 82 768 1 1
140000 33 1441 4 1
226000 35 1816 4 4
50000 41 912 2 2
41700 72 1134 1 1
60000 97 792 1 1
180500 33 1745 3 1
45000 48 1348 1 1
32500 92 1000 1 1
69900 48 936 1 1
56500 77 1172 1 1
135000 34 1740 4 4
51000 38 912 2 2
44750 92 928 2 2
185000 28 1152 4 4
230000 9 1154 6 1
57000 87 1016 1 2
271000 3 2179 3 2
90000 47 1360 2 2
88750 35 1064 3 3
62500 31 936 2 1
86500 18 978 3 2
129900 20 1515 3 4
59600 44 912 1 2
75000 56 1032 1 3
73000 56 1041 1 3
87000 62 1104 4 2
68000 41 912 2 2
160000 17 1906 6 2
51000 41 912 1 1
76000 85 813 1 1
157500 34 1139 5 2
132500 46 1372 3 4
38400 112 1172 1 1
168900 45 1596 4 1
133000 41 1422 5 2
36500 92 966 2 1
33000 97 936 1 1
