Year	Fund Value
1995	100000.00
1995	105896.00
1996	142513.00
1997	210939.00
1998	427562.85
1999	584959.00
2000	394985.41
2001	368104.20
2002	307912.01
2003	377513.70
2004	405952.80
2005	396355.52
2006	438163.58
2007	452124.18
2008	316112.38
2009	384412.79
2010	424795.69
2011	425794.15
2012	473130.33
2013	608947.59
2014	667380.27
2015	677348.48
2016	740372.06
2017	919657.37
2018	915351.94
2019	1313941.23
2020	1514324.93
2021	1695044.63
2022	1325303.76
2023	1656948.33
