lunch,enrol,math4,math7
36.3,1089,28.8,43.4
39.2,1100,32.3,49.3
38.6,1011,39.1,36.5
37.41,995,68,54.7
40.79,1008,68.4,55.4
43.84,1066,49,48
42.61,1058,75,65
36.4,129,30,
38.6,126,28.6,
52.6,126,37.5,0
51.52,59,40,0
47.3,60,83.3,0
52.24,56,90,
56.6,48,67,
59.3,90,20,50
59.2,76,37.5,16.7
50,78,100,71.4
51.22,82,57.1,16.7
62.5,81,50,33.3
48.81,84,40,0
56.41,76,50,83
23.6,1051,45.2,47.7
24,1112,32.9,41
25.3,1106,54.2,54.5
28.85,1133,63.2,63
24.93,1136,73.9,79.6
26.71,1140,63,80
28.13,1102,84,72
34.2,489,23.1,19.4
40.8,481,48.6,21.1
40.7,469,31,32.4
40.17,457,50,47.7
36.63,447,57.1,69.7
39.95,432,50,47
38.94,434,87,60
18.7,1830,44.6,25.8
19.7,1842,37.5,31.3
19.5,1872,55.7,41.6
21.41,1822,58.8,45.7
21.1,1845,65,54.5
20.92,425,62,54
21.17,1691,75,60
13.4,2702,36.6,30.8
12.9,2656,41.3,40.4
13,2715,60.5,51.6
15.96,2551,61.9,56
16.02,2622,70.4,61.5
16.19,2702,61,54
15.77,2746,72,67
19.8,2456,46.7,42.7
20.1,2403,44.5,41.8
20.3,2459,59.6,53.2
20.26,2434,64.6,55.9
19.41,2428,72.5,60
19.46,2442,75,70
19.88,2425,84,65
21.5,2881,39.2,25.9
20.9,3016,35.5,20.5
21.8,3031,59.7,34.3
22.16,2922,58.7,38.8
22.21,2930,58.3,57.1
24.31,2977,57,52
22.73,2999,70,61
19.5,2719,42.1,26
20,2786,45.9,31.1
19.9,2849,56.7,43.2
17.72,2892,62.1,45.9
18.72,3004,78,53.7
17.92,3166,72,55
20.32,3222,80,58
31.1,1665,21.8,18.9
33.4,1643,34.8,43
30.3,1643,38.3,34.7
34.2,1521,45.7,41.6
30.84,1553,42.6,61.7
30.34,1602,43,57
31.59,1612,67,52
26.6,877,36.4,19.4
28.4,873,41.3,14.8
29.4,860,48.4,40.3
30.69,859,49.4,36.6
29.72,842,68.6,30.2
24.12,825,43,43
23.77,816,70,47
18,1283,33.7,16.7
22.1,1305,31.6,27.4
21.6,1369,47.1,33.7
20.24,1365,58.9,34.2
19.79,1352,48.5,34
18.79,1324,62,36
19,1314,80,60
15.3,540,30,54.8
18.7,594,44.2,50
21.2,657,54.9,51.7
21.53,691,65.4,66.7
25.71,700,61,57.9
20.5,694,48,51
20.53,693,77,63
9.7,2723,39.7,52.1
13.3,2774,46.8,58.4
10.9,2112,46.7,53.2
11.92,2131,65.3,53.8
9.59,2132,64.1,71.3
11.63,2224,62,55
10.81,2219,80,60
0,53,100,
0,51,25,
0,50,75,0
0,31,60,0
0,30,77.8,0
0,27,14,
0,26,100,
40.2,2087,29,28.1
41.5,2078,35.3,33.4
40.1,2049,38.7,32.8
34.99,1992,60.4,53.3
34.08,476,65,59.2
35.13,476,55,47
36.43,465,72,59
30.1,5971,33.1,28.5
30.9,5945,47.5,40.8
30,5954,47.5,48.1
32.39,5773,63.1,56.2
31.27,5842,64.9,63.9
32.17,5843,57,50
34.11,5713,70,63
41.5,184,7.1,16.7
45.5,186,15.4,14.3
45.9,180,15.4,11.1
50.25,192,27.3,23.5
48.42,190,33.3,21.4
47.92,193,9,21
45.31,188,50,0
27.4,489,48.6,23.1
32.3,491,50,53.8
33.1,486,51.4,31.7
33.46,512,48.8,64.9
31.02,501,58.5,58.1
33.2,498,76,44
32.09,520,65,83
28.3,603,66.7,21.2
26.1,626,44.2,47.6
22.5,616,59.6,42.9
20.09,636,79.7,62.5
19.56,658,78,56.3
19.88,654,79,67
19.79,650,97,71
22.3,1281,39.8,40.9
23.4,1276,50.5,43.2
23.3,1338,70.4,48
21.41,1358,82.7,39.3
