Observation,HHSEX,AGE,EDUC,MARRIED,KIDS,LF,FAMSTRUCT,RACE,FOODHOME,FOODAWAY,FOODDELV,INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,SSRETINC,TRANSFOTHINC,PENACCTWD,NORMINC,SAVED,BNKRUPLAST5,KNOWL
1,1,44,10,2,1,1,1,1,5136,6000,0,83036.1861,83036.1861,0,0,0,0,0,0,83036.1861,0,0,5
2,1,71,8,1,0,0,5,1,4160,600,0,80605.8587,0,0,0,0,65618.83975,14581.96439,0,80605.8587,1,0,7
3,1,52,8,1,1,1,4,1,2688,2400,0,40910.5112,37467.54739,202.5272832,0,0,0,3037.909248,0,55695.00287,1,0,9
4,1,58,9,1,0,1,5,2,4800,1200,0,40100.40207,39695.3475,0,0,0,0,0,0,40100.40207,0,0,7
5,1,21,12,2,0,0,2,5,6000,6000,0,20252.72832,0,0,0,0,0,18632.51005,0,50631.82079,1,0,7
6,1,55,8,2,0,0,3,1,3600,0,0,29366.45606,0,0,0,0,29366.45606,0,0,28556.34693,1,0,5
7,1,28,13,2,0,1,2,1,2400,720,0,34429.63814,34429.63814,0,0,0,0,0,0,34429.63814,1,0,6
8,1,69,11,1,0,1,5,1,2080,7800,0,459129.3509,437863.9862,-1.012636416,14480.70075,-3220.183802,34227.11086,0,0,459129.3509,1,0,10
9,2,28,8,2,3,1,1,2,2400,1300,2600,12151.63699,0,0,0,0,8911.20046,3240.436531,0,12151.63699,1,0,6
10,1,57,8,2,1,0,1,1,4800,2400,0,40505.45663,0,0,0,0,40505.45663,0,40000,40505.45663,0,0,10
11,1,35,12,2,0,1,2,5,3000,16800,7200,2815129.236,2278431.936,0,334170.0172,202527.2832,0,0,0,2815129.236,1,0,10
12,1,62,12,1,0,0,5,1,3600,1200,0,46378.74785,12151.63699,0,0,0,34227.11086,0,0,46378.74785,1,0,10
13,2,36,14,1,0,1,5,3,3648,2376,648,189160.4825,189565.537,0,0,0,0,0,0,166679.9541,1,0,4
14,2,38,12,2,0,1,2,2,2400,600,456,91137.27743,91137.27743,0,0,0,0,0,0,91137.27743,0,0,5
15,2,54,12,1,0,1,5,1,7200,3600,0,202527.2832,202527.2832,0,0,0,0,0,0,202527.2832,1,0,7
16,1,48,12,1,1,0,4,1,4800,600,0,35442.27455,20252.72832,0,0,0,22075.47387,0,0,35442.27455,0,0,6
17,2,85,13,2,0,0,3,1,3640,1200,0,102377.5416,0,0,21265.36473,2734.118323,78074.26766,0,1100,102377.5416,1,0,9
18,1,41,13,1,2,1,4,1,6000,18000,1200,2948797.243,303790.9248,2531591.04,5468.236646,14784.49167,0,0,0,2948797.243,1,0,7
19,1,47,14,1,2,1,4,1,6000,1200,1200,189363.0098,177211.3728,12151.63699,0,0,0,0,0,189363.0098,1,0,5
20,1,23,9,2,0,0,2,5,2400,6000,1200,17012.29179,0,0,0,0,0,16202.18265,0,17012.29179,0,0,6
21,1,60,11,1,0,1,5,1,6000,1200,0,94985.29581,84858.93165,3868.271109,311.8920161,0,11139.00057,-5245.456634,0,94985.29581,1,0,8
22,2,31,10,2,1,1,1,1,2080,0,2808,1113.900057,1154.405514,0,0,0,0,0,0,16202.18265,0,0,7
23,1,59,12,1,0,1,5,1,5616,14160,0,0,34024.58357,1692.115451,532849.282,1516929.351,0,-9.113727743,0,458521.7691,1,0,10
24,2,57,9,2,0,0,3,2,2160,0,0,10166.86962,0,0,0,0,8911.20046,1356.932797,0,25113.38311,0,0,5
25,1,36,9,1,3,1,4,2,4800,480,480,32404.36531,31999.31074,0,0,0,0,303.7909248,0,32404.36531,0,0,2
26,1,76,14,1,0,0,5,1,3744,1248,0,53467.20276,0,0,0,0,53669.73004,0,0,53467.20276,1,0,7
27,1,45,12,2,0,1,2,3,1800,888,0,116858.2424,113415.2786,0,115.4405514,3037.909248,0,0,0,103288.9144,1,0,7
28,1,60,12,1,2,1,4,5,5200,600,0,89112.0046,54682.36646,34429.63814,0,0,0,0,0,151895.4624,1,1,5
29,1,47,10,1,1,1,4,1,8400,864,0,121516.3699,121516.3699,0,0,0,0,0,0,121516.3699,1,0,9
30,1,55,13,1,0,0,5,1,13000,15600,0,2821205.055,0,216501.6657,1974033.429,1365033.889,0,0,0,2821205.055,1,0,10
31,2,88,12,2,0,0,3,1,1352,1800,0,70682.02183,0,24505.80126,4556.863871,0,36859.96554,0,9000,70682.02183,0,0,8
32,2,58,8,2,0,1,3,2,3600,1200,0,27746.23779,24303.27398,0,0,0,0,3645.491097,0,27746.23779,0,0,8
33,1,26,9,1,2,1,4,1,3952,3848,0,72909.82194,69871.91269,0,0,0,0,3098.667433,0,72909.82194,1,0,10
