"SP500_RET" "AAPL_RET"
0.0289 0.1253
-0.0077 0.008
0.012 0.0165
0.0206 0.0833
0.0051 0.0176
-8e-04 0.0237
0.012 0.0519
0.002 0.0042
-0.0218 -0.0947
-0.0076 -0.0379
-0.0117 -0.0809
-0.0262 -0.071
0.0441 0.1178
0.0047 0.0264
0.022 0.0992
-0.0029 -0.0253
0.0165 0.0693
0.0078 0.0369
-0.0123 -0.0403
0.0165 0.0663
-0.031 -0.1193
-0.0046 -0.022
-0.0103 -0.0232
-0.0144 -0.0536
0.0279 0.0839
0.0179 0.0648
0.0096 0.0137
-0.0051 -0.0282
-0.0101 -0.0536
-0.0033 0.0233
0.0062 0.0326
0.0054 0.0088
0.0122 0.0594
0.0147 0.0496
0.0085 0.0354
0.0089 0.0206
-0.0033 -0.0133
0.0099 0.0474
0.0016 -0.0046
0.0073 0.0326
0.0165 0.0656
0.0058 0.0315
-0.0016 0.0064
0.0094 0.0589
0.0197 0.068
-0.0103 -0.0108
-0.0212 -0.0526
0.0317 0.1431
0.0158 0.0703
-0.0125 -0.0559
-0.1149 -0.2881
0.0061 -0.0021
-0.0879 -0.2603
-0.1498 -0.3751
0.1026 0.2489
-0.0208 -0.0433
0.121 0.2884
0.0304 0.2202
-0.0132 -0.0246
-0.0021 -0.024
0.035 0.1776
-0.0226 -0.0257
0.032 0.0873
0.0301 0.0444
0.0491 0.086
-0.0478 -0.0565
0.0186 0.1075
-0.0286 -0.0473
0.0402 0.1542
0.0176 0.1441
0.0125 -0.0535
-0.0028 -0.0497
0.0173 0.1234
0.0245 0.0637
0.0064 0.0041
0.0072 0.1082
0.0326 0.116
-0.0231 -0.102
-0.0251 -0.1406
-0.0064 -0.043
-0.0063 0.0515
0.0152 0.0265
0.0384 0.1225
0.0019 0.0283
-0.0053 -0.04
-0.0564 -0.157
0.0732 0.2892
0.0216 -0.0415
-0.0077 -0.0058
0.0227 0.0895
0.0167 0.0662
-0.0096 -0.0375
0.0125 0.0806
-0.0052 0.0018
0.0035 0.041
0.0143 0.0466
0.0183 -0.0679
-0.0148 0.1335
0.0194 -0.0999
-0.0331 0.1638
0.0465 0.0458
0.0123 -0.0481
-0.0071 -0.1488
-0.0245 -0.0612
0.0081 0.0568
0.0264 -0.023
-0.0077 0.0252
0.0157 0.0817
0.0114 0.1187
0.0271 0.0423
0.0137 -0.0247
-0.0013 -0.0128
2e-04 -0.0359
0.0123 -0.0753
-0.0139 0.005
-0.0043 0.0637
0.0116 0.0135
0.0061 0.0504
0.0041 0.0108
-0.0191 0.0645
0.0274 0.0783
0.0167 0.0193
0.004 -0.028
-0.0097 0.0878
0.0196 -0.028
-0.0037 0.0279
0.0094 0.0051
0.0071 -0.0098
-0.0059 0.0685
0.0152 0.0437
0.0058 -0.0388
-0.0169 -0.0228
-0.0057 -0.0031
0.0051 -0.1055
-0.0221 0.005
0.0079 0.0646
0.0182 0.041
0.0164 0.0982
0.0133 0.0993
0.02 -0.0299
-0.0031 0.0706
0.0032 -0.092
-0.022 -0.0669
-0.0122 0.1159
0.0382 -0.0996
-0.0194 0.0973
0.0228 0.0052
0.0085 -0.1338
-0.0187 -0.0024
-0.003 -0.2115
-0.0568 -0.0053
0.0077 0.0413
0.0155 -0.0923
-0.0182 -0.0533
-0.0158 0.0291
0.0082 -0.0736
-0.0127 -0.1196
-0.0288 0.2558
0.0616 0.0707
0.0179 0.0176
6e-04 -0.1051
-0.0127 -0.0934
-0.0213 -0.1168
-0.0275 -0.12
-0.0327 -0.0526
-0.0021 -0.0861
-0.0241 -0.1356
-0.0305 0.2176
0.0658 -0.0345
-0.012 -0.1665
-0.0505 -0.1538
-0.0579 0.2342
0.0645 -0.1283
-0.0221 0.1435
0.0194 -0.0394
-0.0093 0.1023
0.0255 0.1297
0.0426 0.0579
0.0036 0.0762
0.0326 -0.0692
-0.0121 -0.1446
-0.0404 -0.1177
-0.0329 0.1184
0.0365 -0.1756
-0.0477 -0.1337
-0.0465 -0.0934
-0.0291 0.0093
0.0151 -0.099
-0.0155 0.1707
0.0474 0.0549
0.0395 -0.1728
-0.0335 0.263
0.059 -0.0366
-0.0069 0.0192
0.0153 0.0517
0.0113 -0.1076
-0.0337 -0.0876
-0.0208 -0.0771
-0.002 -0.0165
-0.0014 0.0197
0.0145 0.1395
0.0267 0.0144
-0.0066 0.1442
0.0247 0.0939
0.0162 -0.0666
-0.0111 0.0092
-0.0028 -0.0944
-0.0267 0.0776
0.019 -0.11
-0.0455 0.1767
0.0143 0.0509
0.0139 0.0945
0.0348 -0.0294
-0.001 0.0015
0.0079 -0.0218
-0.001 0.0514
0.0087 -0.0014
-0.008 0.0184
-0.0029 0.1048
0.0165 0.1021
0.0032 0.0526
0.0183 -0.0054
0.0039 0.1141
0.0258 -0.0453
-0.0139 0.0526
0.0235 -0.0276
-0.0116 0.1041
0.0242 -0.0302
0.0069 0.0593
0.0101 -0.0902
-0.0227 -0.0498
-0.0031 -0.0688
-0.0211 0.0451
0.0082 0.1117
0.025 -0.0423
-0.0129 -0.0185
-0.0016 -0.1036
-0.0293 -3e-04
-0.0074 0.0486
0.0048 0.0016
0.0045 -0.0887
-0.0239 -0.0818
-0.0253 0.2006
0.0585 0.0849
0.0131 0.0586
0.0224 0.0236
0.01 0.0014
0.0077 0.0133
0.0021 0.0984
0.0249 0.0225
0.0075 0.007
0.0032 -0.0931
-0.0152 0.0948
0.0184 0.0834
0.0117 0.0165
0.0106 0.0325
0.0138 0.0529
0.0137 -0.0475
-0.0042 0.0385
